date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number
2023-03-19,Final,MS,LI Shi Feng Rank 14 Elo 2262 (+35),26-24 / 21-5,SHI Yu Qi Rank 12 Elo 2348 (-34),50,https://badmintonranks.com/tournament?id=13426,1
2023-03-19,Final,MD,Fajar ALF.. / Muhamm.. (1) Rank 1 Elo 2231 (+21),21-17 / 21-14,Hendra S.. / Mohamm.. (3) Rank 3 Elo 2136 (-21),34,https://badmintonranks.com/tournament?id=13426,1
2023-03-19,Final,WS,AN Se Young (2) Rank 2 Elo 2598 (+22),21-17 / 10-21 / 21-19,CHEN Yu Fei (4) Rank 4 Elo 2523 (-22),75,https://badmintonranks.com/tournament?id=13426,1
2023-03-19,Final,XD,ZHENG .. / HUANG .. (1) Rank 1 Elo 2497 (+7),21-16 / 16-21 / 21-12,SEO Seu.. / CHAE Yu .. Rank 9 Elo 2163 (-7),64,https://badmintonranks.com/tournament?id=13426,1
2023-03-19,Final,WD,KIM So Y.. / KONG H.. (6) Rank 6 Elo 2154 (+36),21-5 / 21-12,BAEK Ha.. / LEE So H.. Rank 20 Elo 2250 (-36),43,https://badmintonranks.com/tournament?id=13426,1
2023-03-18,Semi final,MS,LI Shi Feng Rank 14 Elo 2233 (+29),21-11 / 19-21 / 21-18,Anders ANTONSEN Rank 18 Elo 2260 (-30),95,https://badmintonranks.com/tournament?id=13426,1
2023-03-18,Semi final,MD,Fajar ALF.. / Muhamm.. (1) Rank 1 Elo 2218 (+13),21-19 / 21-17,HE Ji Ting / ZHOU Ha.. Rank 21 Elo 2015 (-13),45,https://badmintonranks.com/tournament?id=13426,1
2023-03-18,Semi final,WS,AN Se Young (2) Rank 2 Elo 2577 (+21),17-21 / 21-19 / 24-22,TAI Tzu Ying (3) Rank 3 Elo 2501 (-21),82,https://badmintonranks.com/tournament?id=13426,1
2023-03-18,Semi final,XD,SEO Seu.. / CHAE Yu .. Rank 9 Elo 2138 (+25),21-14 / 28-26,KIM Won .. / JEONG N.. Rank 12 Elo 2105 (-25),53,https://badmintonranks.com/tournament?id=13426,1
2023-03-18,Semi final,WD,KIM So Y.. / KONG H.. (6) Rank 6 Elo 2124 (+30),21-14 / 25-23,ZHANG .. / ZHENG .. (3) Rank 3 Elo 2153 (-30),55,https://badmintonranks.com/tournament?id=13426,1
2023-03-18,Semi final,MS,SHI Yu Qi Rank 12 Elo 2328 (+20),21-19 / 21-13,LEE Zii Jia (4) Rank 4 Elo 2232 (-20),43,https://badmintonranks.com/tournament?id=13426,1
2023-03-18,Semi final,MD,Hendra S.. / Mohamm.. (3) Rank 3 Elo 2098 (+38),21-15 / 19-21 / 29-27,LIANG W.. / WANG Ch.. Rank 10 Elo 2226 (-37),68,https://badmintonranks.com/tournament?id=13426,1
2023-03-18,Semi final,WS,CHEN Yu Fei (4) Rank 4 Elo 2484 (+39),21-17 / 21-8,Akane YAMAGUCHI (1) Rank 1 Elo 2642 (-39),37,https://badmintonranks.com/tournament?id=13426,1
2023-03-18,Semi final,XD,ZHENG .. / HUANG .. (1) Rank 1 Elo 2494 (+3),21-17 / 13-21 / 21-13,Rehan N.. / Lisa Ayu K.. Rank 15 Elo 2000 (-3),60,https://badmintonranks.com/tournament?id=13426,1
2023-03-18,Semi final,WD,BAEK Ha.. / LEE So H.. Rank 20 Elo 2239 (+11),21-10 / 21-10,Treesa J.. / GAYATRI .. Rank 17 Elo 1988 (-11),46,https://badmintonranks.com/tournament?id=13426,1
2023-03-17,Quarter final,XD,SEO Seu.. / CHAE Yu .. Rank 9 Elo 2099 (+39),21-18 / 13-21 / 21-14,Dechapol.. / Sapsiree .. (3) Rank 4 Elo 2257 (-39),59,https://badmintonranks.com/tournament?id=13426,1
2023-03-17,Quarter final,MS,LI Shi Feng Rank 14 Elo 2209 (+24),21-11 / 21-11,NG Tze Yong Rank 28 Elo 2159 (-24),41,https://badmintonranks.com/tournament?id=13426,1
2023-03-17,Quarter final,WS,AN Se Young (2) Rank 2 Elo 2577 (+0),W.O.,Carolina MARIN (7) Rank 7 Elo 2402 (-1),0,https://badmintonranks.com/tournament?id=13426,1
2023-03-17,Quarter final,XD,KIM Won .. / JEONG N.. Rank 12 Elo 2086 (+19),21-14 / 21-15,Robin TA.. / Selena PI.. Rank 13 Elo 1968 (-19),37,https://badmintonranks.com/tournament?id=13426,1
2023-03-17,Quarter final,MD,Fajar ALF.. / Muhamm.. (1) Rank 1 Elo 2206 (+12),21-18 / 21-13,Muhamm.. / Bagas MA.. Rank 12 Elo 1995 (-13),38,https://badmintonranks.com/tournament?id=13426,1
2023-03-17,Quarter final,WS,TAI Tzu Ying (3) Rank 3 Elo 2478 (+23),21-12 / 21-11,HE Bing Jiao (5) Rank 5 Elo 2424 (-23),33,https://badmintonranks.com/tournament?id=13426,2
2023-03-17,Quarter final,MS,Anders ANTONSEN Rank 18 Elo 2226 (+34),21-14 / 9-21 / 21-17,Anthony Sinisuka GIN.. (3) Rank 3 Elo 2318 (-34),73,https://badmintonranks.com/tournament?id=13426,2
2023-03-17,Quarter final,MD,HE Ji Ting / ZHOU Ha.. Rank 21 Elo 1983 (+32),17-21 / 21-18 / 21-15,Takuro H.. / Yugo KO.. (4) Rank 4 Elo 2032 (-32),69,https://badmintonranks.com/tournament?id=13426,2
2023-03-17,Quarter final,WD,ZHANG .. / ZHENG .. (3) Rank 3 Elo 2128 (+25),21-13 / 22-20,Mayu MA.. / Wakana N.. Rank 11 Elo 2096 (-25),47,https://badmintonranks.com/tournament?id=13426,2
2023-03-17,Quarter final,WD,KIM So Y.. / KONG H.. (6) Rank 6 Elo 2076 (+48),19-21 / 22-20 / 24-22,CHEN Qi.. / JIA Yi Fan (1) Rank 1 Elo 2404 (-47),93,https://badmintonranks.com/tournament?id=13426,2
2023-03-17,Quarter final,MD,Hendra S.. / Mohamm.. (3) Rank 3 Elo 2062 (+36),16-21 / 21-19 / 21-19,LIU Yu C.. / OU Xuan .. (5) Rank 5 Elo 2172 (-36),57,https://badmintonranks.com/tournament?id=13426,2
