date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
2026-03-08,Final,MD,KIM Won .. / SEO Seu.. (1) Rank 1 Elo 2491 (+7),18-21 / 21-12 / 21-19,Aaron CH.. / SOH Wo.. (2) Rank 2 Elo 2142 (-6),63,https://badmintonranks.com/tournament?id=14702,1,KIM Won .. / SEO Seu.. (1),1.0,2491,Aaron CH.. / SOH Wo.. (2),2.0,2142
2026-03-08,Final,WS,WANG Zhi Yi (2) Rank 2 Elo 2584 (+46),21-15 / 21-19,AN Se Young (1) Rank 1 Elo 2859 (-46),59,https://badmintonranks.com/tournament?id=14702,1,WANG Zhi Yi (2),2.0,2584,AN Se Young (1),1.0,2859
2026-03-08,Final,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2472 (+19),21-18 / 21-12,BAEK Ha.. / LEE So H.. (4) Rank 4 Elo 2359 (-20),59,https://badmintonranks.com/tournament?id=14702,1,LIU Shen.. / TAN Ning (1),1.0,2472,BAEK Ha.. / LEE So H.. (4),4.0,2359
2026-03-08,Final,MS,LIN Chun-Yi Rank 11 Elo 2327 (+26),21-15 / 22-20,Lakshya SEN Rank 12 Elo 2300 (-26),57,https://badmintonranks.com/tournament?id=14702,1,LIN Chun-Yi,11.0,2327,Lakshya SEN,12.0,2300
2026-03-08,Final,XD,YE Hong .. / Nicole Go.. Rank 15 Elo 2009 (+39),21-19 / 21-18,Thom GI.. / Delphine .. (5) Rank 5 Elo 2127 (-38),46,https://badmintonranks.com/tournament?id=14702,1,YE Hong .. / Nicole Go..,15.0,2009,Thom GI.. / Delphine .. (5),5.0,2127
2026-03-07,Semi final,MD,KIM Won .. / SEO Seu.. (1) Rank 1 Elo 2486 (+5),21-19 / 21-13,Raymond.. / Nikolaus J.. Rank 17 Elo 2108 (-5),48,https://badmintonranks.com/tournament?id=14702,1,KIM Won .. / SEO Seu.. (1),1.0,2486,Raymond.. / Nikolaus J..,17.0,2108
2026-03-07,Semi final,WS,WANG Zhi Yi (2) Rank 2 Elo 2560 (+24),21-15 / 21-19,Akane YAMAGUCHI (4) Rank 4 Elo 2510 (-24),43,https://badmintonranks.com/tournament?id=14702,1,WANG Zhi Yi (2),2.0,2560,Akane YAMAGUCHI (4),4.0,2510
2026-03-07,Semi final,MD,Aaron CH.. / SOH Wo.. (2) Rank 2 Elo 2118 (+24),21-11 / 21-19,CHEN Bo.. / LIU Yi Rank 11 Elo 2071 (-24),42,https://badmintonranks.com/tournament?id=14702,1,Aaron CH.. / SOH Wo.. (2),2.0,2118,CHEN Bo.. / LIU Yi,11.0,2071
2026-03-07,Semi final,WS,AN Se Young (1) Rank 1 Elo 2850 (+9),20-22 / 21-9 / 21-12,CHEN Yu Fei (3) Rank 3 Elo 2584 (-10),73,https://badmintonranks.com/tournament?id=14702,1,AN Se Young (1),1.0,2850,CHEN Yu Fei (3),3.0,2584
2026-03-07,Semi final,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2455 (+17),18-21 / 21-17 / 22-20,JIA Yi Fan / ZHANG .. (3) Rank 3 Elo 2319 (-17),90,https://badmintonranks.com/tournament?id=14702,1,LIU Shen.. / TAN Ning (1),1.0,2455,JIA Yi Fan / ZHANG .. (3),3.0,2319
2026-03-07,Semi final,WD,BAEK Ha.. / LEE So H.. (4) Rank 4 Elo 2338 (+21),21-17 / 21-18,Pearly TA.. / THINAAH.. (2) Rank 2 Elo 2247 (-20),69,https://badmintonranks.com/tournament?id=14702,1,BAEK Ha.. / LEE So H.. (4),4.0,2338,Pearly TA.. / THINAAH.. (2),2.0,2247
2026-03-07,Semi final,MS,Lakshya SEN Rank 12 Elo 2279 (+21),21-16 / 18-21 / 21-15,Victor LAI Rank 16 Elo 2190 (-21),97,https://badmintonranks.com/tournament?id=14702,1,Lakshya SEN,12.0,2279,Victor LAI,16.0,2190
2026-03-07,Semi final,XD,YE Hong .. / Nicole Go.. Rank 15 Elo 1967 (+42),16-21 / 21-15 / 21-13,TANG Ch.. / TSE Ying.. (7) Rank 7 Elo 2127 (-40),65,https://badmintonranks.com/tournament?id=14702,1,YE Hong .. / Nicole Go..,15.0,1967,TANG Ch.. / TSE Ying.. (7),7.0,2127
2026-03-07,Semi final,MS,LIN Chun-Yi Rank 11 Elo 2286 (+41),21-14 / 18-21 / 21-16,Kunlavut VITIDSARN (2) Rank 2 Elo 2473 (-41),78,https://badmintonranks.com/tournament?id=14702,1,LIN Chun-Yi,11.0,2286,Kunlavut VITIDSARN (2),2.0,2473
2026-03-07,Semi final,XD,Thom GI.. / Delphine .. (5) Rank 5 Elo 2098 (+29),11-21 / 21-18 / 21-12,GUO Xin .. / CHEN Fa.. (6) Rank 6 Elo 2106 (-29),69,https://badmintonranks.com/tournament?id=14702,1,Thom GI.. / Delphine .. (5),5.0,2098,GUO Xin .. / CHEN Fa.. (6),6.0,2106
2026-03-06,Quarter final,MD,KIM Won .. / SEO Seu.. (1) Rank 1 Elo 2483 (+3),16-21 / 21-7 / 21-14,Christo P.. / Toma Juni.. Rank 25 Elo 1952 (-3),67,https://badmintonranks.com/tournament?id=14702,1,KIM Won .. / SEO Seu.. (1),1.0,2483,Christo P.. / Toma Juni..,25.0,1952
2026-03-06,Quarter final,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2453 (+2),21-11 / 21-16,HSIEH P.. / HUNG E.. (8) Rank 9 Elo 1929 (-3),51,https://badmintonranks.com/tournament?id=14702,1,LIU Shen.. / TAN Ning (1),1.0,2453,HSIEH P.. / HUNG E.. (8),9.0,1929
2026-03-06,Quarter final,WD,JIA Yi Fan / ZHANG .. (3) Rank 3 Elo 2316 (+3),21-17 / 22-20,Sayaka H.. / Ayako SA.. Rank Elo 1836 (-4),59,https://badmintonranks.com/tournament?id=14702,1,JIA Yi Fan / ZHANG .. (3),3.0,2316,Sayaka H.. / Ayako SA..,,1836
2026-03-06,Quarter final,WS,WANG Zhi Yi (2) Rank 2 Elo 2556 (+4),21-13 / 8-21 / 21-16,Tomoka MIYAZAKI Rank 9 Elo 2157 (-5),68,https://badmintonranks.com/tournament?id=14702,1,WANG Zhi Yi (2),2.0,2556,Tomoka MIYAZAKI,9.0,2157
2026-03-06,Quarter final,WS,Akane YAMAGUCHI (4) Rank 4 Elo 2507 (+3),13-21 / 21-17 / 21-10,Line CHRISTOPHERSEN Rank 23 Elo 2028 (-3),56,https://badmintonranks.com/tournament?id=14702,1,Akane YAMAGUCHI (4),4.0,2507,Line CHRISTOPHERSEN,23.0,2028
2026-03-06,Quarter final,MS,Victor LAI Rank 16 Elo 2159 (+31),18-21 / 21-17 / 21-15,Koki WATANABE Rank 24 Elo 2209 (-31),79,https://badmintonranks.com/tournament?id=14702,2,Victor LAI,16.0,2159,Koki WATANABE,24.0,2209
2026-03-06,Quarter final,XD,TANG Ch.. / TSE Ying.. (7) Rank 7 Elo 2113 (+14),21-18 / 19-21 / 21-15,Mads VE.. / Christine .. Rank 20 Elo 1918 (-15),70,https://badmintonranks.com/tournament?id=14702,2,TANG Ch.. / TSE Ying.. (7),7.0,2113,Mads VE.. / Christine ..,20.0,1918
2026-03-06,Quarter final,MD,Raymond.. / Nikolaus J.. Rank 17 Elo 2072 (+36),21-18 / 21-12,LIANG W.. / WANG C.. (3) Rank 3 Elo 2188 (-36),36,https://badmintonranks.com/tournament?id=14702,2,Raymond.. / Nikolaus J..,17.0,2072,LIANG W.. / WANG C.. (3),3.0,2188
2026-03-06,Quarter final,WD,Pearly TA.. / THINAAH.. (2) Rank 2 Elo 2236 (+11),21-9 / 21-18,Febriana .. / Meilysa Tri.. Rank 21 Elo 2009 (-12),43,https://badmintonranks.com/tournament?id=14702,2,Pearly TA.. / THINAAH.. (2),2.0,2236,Febriana .. / Meilysa Tri..,21.0,2009
2026-03-06,Quarter final,MS,Lakshya SEN Rank 12 Elo 2251 (+28),21-13 / 21-16,LI Shi Feng (6) Rank 6 Elo 2263 (-28),60,https://badmintonranks.com/tournament?id=14702,2,Lakshya SEN,12.0,2251,LI Shi Feng (6),6.0,2263
2026-03-06,Quarter final,XD,YE Hong .. / Nicole Go.. Rank 15 Elo 1939 (+28),21-15 / 21-12,Pakkapo.. / Sapsiree .. Rank 28 Elo 1923 (-28),33,https://badmintonranks.com/tournament?id=14702,2,YE Hong .. / Nicole Go..,15.0,1939,Pakkapo.. / Sapsiree ..,28.0,1923
2026-03-06,Quarter final,WD,BAEK Ha.. / LEE So H.. (4) Rank 4 Elo 2315 (+23),21-18 / 21-7,Yuki FUK.. / Mayu MA.. (5) Rank 6 Elo 2264 (-23),50,https://badmintonranks.com/tournament?id=14702,2,BAEK Ha.. / LEE So H.. (4),4.0,2315,Yuki FUK.. / Mayu MA.. (5),6.0,2264
2026-03-06,Quarter final,MD,Aaron CH.. / SOH Wo.. (2) Rank 2 Elo 2089 (+29),21-16 / 20-22 / 21-14,MAN Wei.. / TEE Kai .. (6) Rank 6 Elo 2114 (-29),61,https://badmintonranks.com/tournament?id=14702,2,Aaron CH.. / SOH Wo.. (2),2.0,2089,MAN Wei.. / TEE Kai .. (6),6.0,2114
2026-03-06,Quarter final,MS,LIN Chun-Yi Rank 11 Elo 2247 (+39),21-18 / 21-14,Christo POPOV (5) Rank 5 Elo 2419 (-39),56,https://badmintonranks.com/tournament?id=14702,2,LIN Chun-Yi,11.0,2247,Christo POPOV (5),5.0,2419
2026-03-06,Quarter final,WS,AN Se Young (1) Rank 1 Elo 2848 (+2),21-11 / 21-14,Putri Kusuma WARDA.. (6) Rank 6 Elo 2272 (-2),39,https://badmintonranks.com/tournament?id=14702,2,AN Se Young (1),1.0,2848,Putri Kusuma WARDA.. (6),6.0,2272
2026-03-06,Quarter final,MD,CHEN Bo.. / LIU Yi Rank 11 Elo 2048 (+23),21-16 / 21-10,Muhamm.. / Rahmat HI.. Rank 50 Elo 1989 (-24),40,https://badmintonranks.com/tournament?id=14702,2,CHEN Bo.. / LIU Yi,11.0,2048,Muhamm.. / Rahmat HI..,50.0,1989
2026-03-06,Quarter final,XD,GUO Xin .. / CHEN Fa.. (6) Rank 6 Elo 2089 (+17),21-17 / 18-21 / 21-15,Amri SYA.. / Nita Violin.. Rank 17 Elo 1947 (-17),80,https://badmintonranks.com/tournament?id=14702,2,GUO Xin .. / CHEN Fa.. (6),6.0,2089,Amri SYA.. / Nita Violin..,17.0,1947
