date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
8/3/2026,Final,MD,KIM Won .. / SEO Seu.. (1) Rank 1 Elo 2491 (+7),18-21 / 21-12 / 21-19,Aaron CH.. / SOH Wo.. (2) Rank 2 Elo 2142 (-6),63,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,KIM Won .. / SEO Seu.. (1),1.0,2491,Aaron CH.. / SOH Wo.. (2),2.0,2142
8/3/2026,Final,WS,WANG Zhi Yi (2) Rank 2 Elo 2584 (+46),21-15 / 21-19,AN Se Young (1) Rank 1 Elo 2859 (-46),59,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,WANG Zhi Yi (2),2.0,2584,AN Se Young (1),1.0,2859
8/3/2026,Final,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2472 (+19),21-18 / 21-12,BAEK Ha.. / LEE So H.. (4) Rank 4 Elo 2359 (-20),59,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,LIU Shen.. / TAN Ning (1),1.0,2472,BAEK Ha.. / LEE So H.. (4),4.0,2359
8/3/2026,Final,MS,LIN Chun-Yi Rank 11 Elo 2327 (+26),21-15 / 22-20,Lakshya SEN Rank 12 Elo 2300 (-26),57,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,LIN Chun-Yi,11.0,2327,Lakshya SEN,12.0,2300
8/3/2026,Final,XD,YE Hong .. / Nicole Go.. Rank 15 Elo 2009 (+39),21-19 / 21-18,Thom GI.. / Delphine .. (5) Rank 5 Elo 2127 (-38),46,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,YE Hong .. / Nicole Go..,15.0,2009,Thom GI.. / Delphine .. (5),5.0,2127
7/3/2026,Semi final,MD,KIM Won .. / SEO Seu.. (1) Rank 1 Elo 2486 (+5),21-19 / 21-13,Raymond.. / Nikolaus J.. Rank 17 Elo 2108 (-5),48,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,KIM Won .. / SEO Seu.. (1),1.0,2486,Raymond.. / Nikolaus J..,17.0,2108
7/3/2026,Semi final,WS,WANG Zhi Yi (2) Rank 2 Elo 2560 (+24),21-15 / 21-19,Akane YAMAGUCHI (4) Rank 4 Elo 2510 (-24),43,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,WANG Zhi Yi (2),2.0,2560,Akane YAMAGUCHI (4),4.0,2510
7/3/2026,Semi final,MD,Aaron CH.. / SOH Wo.. (2) Rank 2 Elo 2118 (+24),21-11 / 21-19,CHEN Bo.. / LIU Yi Rank 11 Elo 2071 (-24),42,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,Aaron CH.. / SOH Wo.. (2),2.0,2118,CHEN Bo.. / LIU Yi,11.0,2071
7/3/2026,Semi final,WS,AN Se Young (1) Rank 1 Elo 2850 (+9),20-22 / 21-9 / 21-12,CHEN Yu Fei (3) Rank 3 Elo 2584 (-10),73,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,AN Se Young (1),1.0,2850,CHEN Yu Fei (3),3.0,2584
7/3/2026,Semi final,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2455 (+17),18-21 / 21-17 / 22-20,JIA Yi Fan / ZHANG .. (3) Rank 3 Elo 2319 (-17),90,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,LIU Shen.. / TAN Ning (1),1.0,2455,JIA Yi Fan / ZHANG .. (3),3.0,2319
7/3/2026,Semi final,WD,BAEK Ha.. / LEE So H.. (4) Rank 4 Elo 2338 (+21),21-17 / 21-18,Pearly TA.. / THINAAH.. (2) Rank 2 Elo 2247 (-20),69,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,BAEK Ha.. / LEE So H.. (4),4.0,2338,Pearly TA.. / THINAAH.. (2),2.0,2247
7/3/2026,Semi final,MS,Lakshya SEN Rank 12 Elo 2279 (+21),21-16 / 18-21 / 21-15,Victor LAI Rank 16 Elo 2190 (-21),97,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,Lakshya SEN,12.0,2279,Victor LAI,16.0,2190
