date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name
2025-08-31,Final,MD,KIM Won .. / SEO Seu.. (1) Rank 1 Elo 2314 (+11),21-17 / 21-12,CHEN Bo.. / LIU Yi (11) Rank 11 Elo 2071 (-12),40,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025
2025-08-31,Final,MS,SHI Yu Qi (1) Rank 1 Elo 2567 (+19),19-21 / 21-10 / 21-18,Kunlavut VITIDSARN (3) Rank 3 Elo 2456 (-19),77,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025
2025-08-31,Final,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2475 (+14),21-14 / 20-22 / 21-17,Pearly TA.. / THINAAH.. (2) Rank 2 Elo 2280 (-14),83,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025
2025-08-31,Final,WS,Akane YAMAGUCHI (5) Rank 5 Elo 2459 (+45),21-9 / 21-13,CHEN Yu Fei (4) Rank 4 Elo 2678 (-44),37,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025
2025-08-31,Final,XD,CHEN Ta.. / TOH Ee .. (4) Rank 4 Elo 2160 (+43),21-15 / 21-14,JIANG Zh.. / WEI Ya X.. (2) Rank 2 Elo 2351 (-43),40,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025
2025-08-30,Semi final,MD,CHEN Bo.. / LIU Yi (11) Rank 11 Elo 2028 (+43),21-19 / 18-21 / 21-12,Satwiksai.. / Chirag S.. (9) Rank 9 Elo 2200 (-41),67,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025
2025-08-30,Semi final,MS,Kunlavut VITIDSARN (3) Rank 3 Elo 2432 (+24),21-17 / 21-15,Anders ANTONSEN (2) Rank 2 Elo 2383 (-24),47,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025
2025-08-30,Semi final,MD,KIM Won .. / SEO Seu.. (1) Rank 1 Elo 2302 (+12),21-12 / 21-3,Kim AST.. / Anders S.. (5) Rank 5 Elo 2079 (-12),27,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025
2025-08-30,Semi final,MS,SHI Yu Qi (1) Rank 1 Elo 2563 (+4),13-21 / 22-20 / 21-16,Victor LAI Rank 51 Elo 2082 (-3),80,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025
2025-08-30,Semi final,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2468 (+7),21-15 / 21-4,Rin IWAN.. / Kie NAK.. (9) Rank 9 Elo 2124 (-7),41,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025
2025-08-30,Semi final,WS,CHEN Yu Fei (4) Rank 4 Elo 2640 (+38),21-15 / 21-17,AN Se Young (1) Rank 1 Elo 2770 (-37),58,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025
2025-08-30,Semi final,XD,CHEN Ta.. / TOH Ee .. (4) Rank 4 Elo 2135 (+25),21-18 / 21-16,Thom GI.. / Delphine .. (8) Rank 8 Elo 2088 (-25),53,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025
2025-08-30,Semi final,WD,Pearly TA.. / THINAAH.. (2) Rank 2 Elo 2250 (+30),14-21 / 21-13 / 21-12,Nami MA.. / Chiharu .. (3) Rank 3 Elo 2281 (-30),68,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025
2025-08-30,Semi final,WS,Akane YAMAGUCHI (5) Rank 5 Elo 2446 (+13),21-17 / 14-21 / 21-6,Putri Kusuma WARDA.. (9) Rank 9 Elo 2244 (-13),58,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025
2025-08-30,Semi final,XD,JIANG Zh.. / WEI Ya X.. (2) Rank 2 Elo 2337 (+14),11-21 / 23-21 / 21-18,GUO Xin .. / CHEN Fa.. (7) Rank 7 Elo 2139 (-14),68,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025
