date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
2021-12-19,Final,MS,LOH Kean Yew Rank 22 Elo 2373 (+18),21-15 / 22-20,KIDAMBI Srikanth (12) Rank 14 Elo 2239 (-18),43,https://badmintonranks.com/tournament?id=14012,1,LOH Kean Yew,22,2373,KIDAMBI Srikanth (12),14,2239
2021-12-19,Final,MD,Takuro H.. / Yugo KO.. (5) Rank 4 Elo 2334 (+8),21-12 / 21-18,HE Ji Ting / TAN Qian.. (16) Rank 24 Elo 2018 (-8),38,https://badmintonranks.com/tournament?id=14012,1,Takuro HOKI / Yugo KOBAYASHI (5),4,2334,HE Ji Ting / TAN Qiang (16),24,2018
2021-12-19,Final,WD,CHEN Qi.. / JIA Yi Fan (1) Rank 3 Elo 2318 (+22),21-16 / 21-17,LEE So H.. / SHIN Se.. (2) Rank 4 Elo 2236 (-22),64,https://badmintonranks.com/tournament?id=14012,1,CHEN Qi Ming / JIA Yi Fan (1),3,2318,LEE So Hee / SHIN Se Eum (2),4,2236
2021-12-19,Final,WS,Akane YAMAGUCHI (2) Rank 3 Elo 2503 (+32),21-14 / 21-11,TAI Tzu Ying (1) Rank 1 Elo 2555 (-33),39,https://badmintonranks.com/tournament?id=14012,1,Akane YAMAGUCHI (2),3,2503,TAI Tzu Ying (1),1,2555
2021-12-19,Final,XD,Dechapol.. / Sapsiree .. (2) Rank 1 Elo 2417 (+24),21-13 / 21-14,Yuta WAT.. / Arisa IGA.. (3) Rank 4 Elo 2362 (-24),46,https://badmintonranks.com/tournament?id=14012,1,Dechapol PUAVARANUKROH / Sapsiree TAERATTANACHAI (2),1,2417,Yuta WATANABE / Arisa IGAKI (3),4,2362
2021-12-18,Semi final,MS,LOH Kean Yew Rank 22 Elo 2340 (+33),23-21 / 21-14,Anders ANTONSEN (3) Rank 3 Elo 2401 (-32),61,https://badmintonranks.com/tournament?id=14012,1,LOH Kean Yew,22,2340,Anders ANTONSEN (3),3,2401
2021-12-18,Semi final,MD,HE Ji Ting / TAN Qian.. (16) Rank 24 Elo 1979 (+39),21-16 / 13-21 / 21-15,Kim AST.. / Anders S.. (7) Rank 10 Elo 2092 (-38),58,https://badmintonranks.com/tournament?id=14012,1,HE Ji Ting / TAN Qiang (16),24,1979,Kim ASTRUP / Anders Skaarup RASMUSSEN (7),10,2092
2021-12-18,Semi final,MS,KIDAMBI Srikanth (12) Rank 14 Elo 2212 (+27),17-21 / 21-14 / 21-17,Lakshya SEN Rank 19 Elo 2195 (-27),69,https://badmintonranks.com/tournament?id=14012,1,KIDAMBI Srikanth (12),14,2212,Lakshya SEN,19,2195
2021-12-18,Semi final,MD,Takuro H.. / Yugo KO.. (5) Rank 4 Elo 2320 (+14),21-13 / 21-9,ONG Yew.. / TEO Ee .. (9) Rank 12 Elo 2135 (-14),32,https://badmintonranks.com/tournament?id=14012,1,Takuro HOKI / Yugo KOBAYASHI (5),4,2320,ONG Yew Sin / TEO Ee Yi (9),12,2135
2021-12-18,Semi final,WD,LEE So H.. / SHIN Se.. (2) Rank 4 Elo 2208 (+28),21-18 / 21-17,KIM So Y.. / KONG H.. (3) Rank 2 Elo 2203 (-28),69,https://badmintonranks.com/tournament?id=14012,1,LEE So Hee / SHIN Se Eum (2),4,2208,KIM So Yeong / KONG Hee Yong (3),2,2203
2021-12-18,Semi final,XD,Yuta WAT.. / Arisa IGA.. (3) Rank 4 Elo 2359 (+3),21-13 / 21-8,Kyohei Y.. / Naru SHI.. Rank 53 Elo 1864 (-4),37,https://badmintonranks.com/tournament?id=14012,1,Yuta WATANABE / Arisa IGAKI (3),4,2359,Kyohei YAMASHITA / Naru SHINOYA,53,1864
