date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number
2021-12-05,Final,MS,Viktor AXELSEN Rank 1 Elo 2611 (+5),21-12 / 21-8,Kunlavut VITIDSARN Rank 23 Elo 2199 (-5),43,https://badmintonranks.com/tournament?id=11068,1
2021-12-05,Final,MD,Takuro H.. / Yugo KOB.. Rank 6 Elo 2277 (+34),21-16 / 13-21 / 21-17,Marcus G.. / Kevin SU.. Rank 1 Elo 2366 (-34),61,https://badmintonranks.com/tournament?id=11068,1
2021-12-05,Final,WS,AN Se Young Rank 6 Elo 2475 (+17),21-16 / 21-12,PUSARLA V. Sindhu Rank 7 Elo 2342 (-18),39,https://badmintonranks.com/tournament?id=11068,1
2021-12-05,Final,XD,Dechapol.. / Sapsiree .. Rank 2 Elo 2373 (+28),21-19 / 21-11,Yuta WAT.. / Arisa IGA.. Rank 4 Elo 2378 (-28),40,https://badmintonranks.com/tournament?id=11068,1
2021-12-05,Final,WD,KIM So Y.. / KONG He.. Rank 4 Elo 2148 (+36),21-14 / 21-14,Nami MA.. / Chiharu S.. Rank 7 Elo 2257 (-36),44,https://badmintonranks.com/tournament?id=11068,1
2021-12-04,Semi final,MS,Viktor AXELSEN Rank 1 Elo 2608 (+3),21-13 / 21-11,Lakshya SEN Rank 21 Elo 2135 (-3),39,https://badmintonranks.com/tournament?id=11068,1
2021-12-04,Semi final,MD,Marcus G.. / Kevin SU.. Rank 1 Elo 2348 (+18),18-21 / 23-21 / 21-17,LEE Yang / WANG Ch.. Rank 3 Elo 2233 (-18),61,https://badmintonranks.com/tournament?id=11068,1
2021-12-04,Semi final,MS,Kunlavut VITIDSARN Rank 23 Elo 2160 (+39),21-18 / 21-18,LEE Zii Jia Rank 8 Elo 2321 (-39),44,https://badmintonranks.com/tournament?id=11068,1
2021-12-04,Semi final,MD,Takuro H.. / Yugo KOB.. Rank 6 Elo 2263 (+14),21-18 / 21-15,ONG Yew.. / TEO Ee Yi Rank 12 Elo 2077 (-14),39,https://badmintonranks.com/tournament?id=11068,1
2021-12-04,Semi final,WS,PUSARLA V. Sindhu Rank 7 Elo 2301 (+41),21-15 / 15-21 / 21-19,Akane YAMAGUCHI Rank 3 Elo 2499 (-40),70,https://badmintonranks.com/tournament?id=11068,1
2021-12-04,Semi final,XD,Dechapol.. / Sapsiree .. Rank 2 Elo 2369 (+4),21-8 / 21-18,CHAN Pe.. / GOH Liu .. Rank 9 Elo 1927 (-4),42,https://badmintonranks.com/tournament?id=11068,1
2021-12-04,Semi final,WS,AN Se Young Rank 6 Elo 2459 (+16),25-23 / 21-17,Pornpawee CHOCHUW.. Rank 10 Elo 2309 (-16),55,https://badmintonranks.com/tournament?id=11068,1
2021-12-04,Semi final,XD,Yuta WAT.. / Arisa IGA.. Rank 4 Elo 2367 (+11),19-21 / 21-9 / 21-19,TANG Ch.. / TSE Ying .. Rank 7 Elo 2122 (-10),67,https://badmintonranks.com/tournament?id=11068,1
2021-12-04,Semi final,WD,Nami MA.. / Chiharu S.. Rank 7 Elo 2234 (+23),21-14 / 13-21 / 23-21,Greysia P.. / Apriyani R.. Rank 6 Elo 2180 (-23),76,https://badmintonranks.com/tournament?id=11068,1
2021-12-04,Semi final,WD,KIM So Y.. / KONG He.. Rank 4 Elo 2148 (+0),W.O.,Gabriela .. / Stefani ST.. Rank 11 Elo 1949 (-1),0,https://badmintonranks.com/tournament?id=11068,1
2021-12-03,Group B,MD,Pramudy.. / Yeremia E.. Rank 27 Elo 1957 (+8),21-15 / 21-16,Christo P.. / Toma Juni.. Rank 31 Elo 1658 (-14),39,https://badmintonranks.com/tournament?id=11068,1
2021-12-03,Group A,MD,Marcus G.. / Kevin SU.. (1) Rank 1 Elo 2341 (+7),21-15 / 18-21 / 21-9,Kim AST.. / Anders Sk.. Rank 10 Elo 2040 (-8),69,https://badmintonranks.com/tournament?id=11068,1
2021-12-03,Group A,MD,LEE Yang / WANG Ch.. Rank 3 Elo 2233 (+0),W.O.,Satwiksai.. / Chirag SH.. Rank 9 Elo 2048 (-1),0,https://badmintonranks.com/tournament?id=11068,1
2021-12-03,Group A,MS,Lakshya SEN Rank 21 Elo 2135 (+0),W.O.,Rasmus GEMKE Rank 10 Elo 2151 (-2),0,https://badmintonranks.com/tournament?id=11068,1
2021-12-03,Group B,MD,Takuro H.. / Yugo KO.. (2) Rank 6 Elo 2249 (+14),21-19 / 12-21 / 21-10,ONG Yew.. / TEO Ee Yi Rank 12 Elo 2091 (-14),54,https://badmintonranks.com/tournament?id=11068,1
2021-12-03,Group B,XD,Dechapol.. / Sapsiree .. (2) Rank 2 Elo 2366 (+3),21-18 / 21-13,Marcus E.. / Lauren S.. Rank 8 Elo 1880 (-4),40,https://badmintonranks.com/tournament?id=11068,2
2021-12-03,Group A,XD,Yuta WAT.. / Arisa IGA.. (1) Rank 4 Elo 2363 (+4),21-11 / 21-12,CHAN Pe.. / GOH Liu .. Rank 9 Elo 1931 (-4),33,https://badmintonranks.com/tournament?id=11068,2
2021-12-03,Group B,XD,TANG Ch.. / TSE Ying .. Rank 7 Elo 2100 (+22),21-11 / 21-15,Praveen .. / Melati Dae.. Rank 5 Elo 2053 (-23),30,https://badmintonranks.com/tournament?id=11068,2
2021-12-03,Group A,XD,Mathias .. / Alexandra .. Rank 14 Elo 1979 (+22),21-15 / 21-17,TAN Kian.. / LAI Pei Jin.. Rank 11 Elo 1924 (-23),48,https://badmintonranks.com/tournament?id=11068,2
2021-12-03,Group A,WS,Pornpawee CHOCHU.. (1) Rank 10 Elo 2281 (+28),21-12 / 19-21 / 21-14,PUSARLA V. Sindhu Rank 7 Elo 2330 (-29),71,https://badmintonranks.com/tournament?id=11068,2
2021-12-03,Group A,WS,Line CHRISTOPHERSEN Rank 27 Elo 1887 (+29),21-11 / 21-14,Yvonne LI Rank 24 Elo 1896 (-29),33,https://badmintonranks.com/tournament?id=11068,2
2021-12-03,Group A,MS,Viktor AXELSEN (1) Rank 1 Elo 2608 (+0),W.O.,Kento MOMOTA Rank 2 Elo 2468 (-1),0,https://badmintonranks.com/tournament?id=11068,2
2021-12-03,Group B,WS,AN Se Young Rank 6 Elo 2459 (+0),W.O.,YEO Jia Min Rank 17 Elo 2024 (-0),0,https://badmintonranks.com/tournament?id=11068,2
2021-12-03,Group A,WD,KIM So Y.. / KONG He.. Rank 4 Elo 2138 (+10),18-21 / 22-20 / 21-8,Jongkolp.. / Rawinda .. (1) Rank 9 Elo 1897 (-11),81,https://badmintonranks.com/tournament?id=11068,2
2021-12-03,Group B,WD,Ashwini P.. / REDDY Si.. Rank 24 Elo 1676 (+54),21-19 / 9-21 / 21-14,Chloe CO.. / Lauren S.. Rank 13 Elo 1760 (-43),64,https://badmintonranks.com/tournament?id=11068,2
2021-12-03,Group A,WD,Greysia P.. / Apriyani R.. Rank 6 Elo 2173 (+7),21-18 / 21-11,Pearly TA.. / THINAAH .. Rank 17 Elo 1848 (-8),46,https://badmintonranks.com/tournament?id=11068,2
