date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name
21/12/2025,Final,MD,KIM Won .. / SEO Seun.. Rank 1 Elo 2447 (+8),21-18 / 21-14,LIANG W.. / WANG Ch.. Rank 5 Elo 2146 (-8),40,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025
21/12/2025,Final,MS,Christo POPOV Rank 8 Elo 2405 (+42),21-19 / 21-9,SHI Yu Qi Rank 1 Elo 2608 (-42),45,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025
21/12/2025,Final,WS,AN Se Young Rank 1 Elo 2805 (+12),21-13 / 18-21 / 21-10,WANG Zhi Yi Rank 2 Elo 2576 (-11),96,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025
21/12/2025,Final,WD,BAEK Ha.. / LEE So H.. Rank 7 Elo 2290 (+26),21-17 / 21-11,Yuki FUK.. / Mayu MAT.. Rank 5 Elo 2268 (-25),69,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025
21/12/2025,Final,XD,FENG Ya.. / HUANG D.. Rank 1 Elo 2488 (+17),21-12 / 21-17,JIANG Zh.. / WEI Ya Xin Rank 2 Elo 2344 (-17),45,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025
20/12/2025,Semi final,MD,LIANG W.. / WANG Ch.. Rank 5 Elo 2112 (+34),10-21 / 21-17 / 21-13,Satwiksai.. / Chirag SH.. Rank 3 Elo 2203 (-34),63,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025
20/12/2025,Semi final,MD,KIM Won .. / SEO Seun.. Rank 1 Elo 2438 (+9),21-9 / 21-11,Sabar Ka.. / Moh Reza.. Rank 10 Elo 2173 (-9),28,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025
20/12/2025,Semi final,MS,SHI Yu Qi Rank 1 Elo 2594 (+14),21-16 / 21-13,Kunlavut VITIDSARN Rank 2 Elo 2423 (-15),52,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025
20/12/2025,Semi final,WD,BAEK Ha.. / LEE So H.. Rank 7 Elo 2252 (+38),15-21 / 21-16 / 21-19,LIU Shen.. / TAN Ning Rank 1 Elo 2401 (-38),80,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025
20/12/2025,Semi final,XD,JIANG Zh.. / WEI Ya Xin Rank 2 Elo 2325 (+19),9-21 / 21-11 / 21-17,CHEN Ta.. / TOH Ee W.. Rank 4 Elo 2227 (-20),58,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025
20/12/2025,Semi final,MS,Christo POPOV Rank 8 Elo 2387 (+18),21-19 / 21-8,Kodai NARAOKA Rank 9 Elo 2266 (-18),50,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025
20/12/2025,Semi final,WD,Yuki FUK.. / Mayu MAT.. Rank 5 Elo 2237 (+31),21-19 / 21-13,Pearly TA.. / THINAAH .. Rank 2 Elo 2291 (-31),61,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025
20/12/2025,Semi final,XD,FENG Ya.. / HUANG D.. Rank 1 Elo 2483 (+5),22-20 / 17-21 / 21-9,Hiroki MI.. / Natsu SAI.. Rank 8 Elo 2094 (-5),67,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025
20/12/2025,Semi final,WS,WANG Zhi Yi Rank 2 Elo 2570 (+6),15-21 / 21-17 / 21-11,Ratchanok INTANON Rank 8 Elo 2228 (-6),76,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025
20/12/2025,Semi final,WS,AN Se Young Rank 1 Elo 2797 (+8),21-15 / 21-12,Akane YAMAGUCHI Rank 3 Elo 2509 (-8),38,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025
19/12/2025,Group B,MD,Satwiksai.. / Chirag S.. (3) Rank 3 Elo 2184 (+19),17-21 / 21-18 / 21-15,Aaron CH.. / SOH Wo.. (2) Rank 2 Elo 2089 (-19),70,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025
19/12/2025,Group A,MS,Kunlavut VITIDSARN (1) Rank 2 Elo 2397 (+26),21-15 / 18-21 / 21-13,Anders ANTONSEN (4) Rank 3 Elo 2407 (-26),87,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025
19/12/2025,Group A,MD,KIM Won .. / SEO Seu.. (1) Rank 1 Elo 2432 (+6),25-23 / 14-21 / 21-19,MAN Wei.. / TEE Kai .. (4) Rank 4 Elo 2070 (-5),63,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025
19/12/2025,Group A,MD,Sabar Ka.. / Moh Reza.. Rank 10 Elo 2158 (+15),21-19 / 20-22 / 21-15,CHIU Hsi.. / WANG Ch.. Rank 16 Elo 2015 (-17),65,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025
19/12/2025,Group B,MD,LIANG W.. / WANG Ch.. Rank 5 Elo 2081 (+31),21-17 / 21-14,Fajar ALF.. / Muhamma.. Rank 8 Elo 2147 (-31),40,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025
19/12/2025,Group B,MS,SHI Yu Qi Rank 1 Elo 2586 (+8),21-9 / 21-11,Kodai NARAOKA Rank 9 Elo 2273 (-7),28,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025
19/12/2025,Group A,MS,Christo POPOV Rank 8 Elo 2362 (+25),18-21 / 21-16 / 21-13,Jonatan CHRISTIE Rank 5 Elo 2359 (-25),72,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025
19/12/2025,Group B,WD,LIU Shen.. / TAN Ning (3) Rank 1 Elo 2387 (+14),21-17 / 21-11,KIM Hye .. / KONG H.. (2) Rank 3 Elo 2216 (-14),48,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025
19/12/2025,Group A,XD,Hiroki MI.. / Natsu SAI.. Rank 8 Elo 2065 (+29),21-14 / 21-23 / 21-14,Thom GI.. / Delphine .. Rank 5 Elo 2100 (-29),67,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025
19/12/2025,Group A,XD,JIANG Zh.. / WEI Ya X.. (4) Rank 2 Elo 2309 (+16),21-10 / 21-12,Dechapol.. / Supissar.. (1) Rank 3 Elo 2173 (-16),30,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025
19/12/2025,Group B,WD,BAEK Ha.. / LEE So H.. Rank 7 Elo 2247 (+5),21-17 / 21-19,HSIEH P.. / HUNG En-.. Rank 9 Elo 1855 (-6),49,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025
19/12/2025,Group B,MS,CHOU Tien Chen (3) Rank 6 Elo 2200 (+13),14-21 / 11-14 Ret.,LI Shi Feng (2) Rank 4 Elo 2292 (-13),38,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025
19/12/2025,Group A,WD,JIA Yi Fan / ZHANG .. (4) Rank 4 Elo 2332 (+10),21-11 / 21-8,Rin IWAN.. / Kie NAKA.. Rank 6 Elo 2105 (-11),34,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025
19/12/2025,Group B,XD,Jafar HID.. / Felisha Al.. Rank 10 Elo 2035 (+23),21-17 / 21-17,GOH Soo.. / LAI Shevo.. Rank 9 Elo 1988 (-23),34,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025
19/12/2025,Group A,WD,Yuki FUK.. / Mayu MAT.. Rank 5 Elo 2203 (+34),21-15 / 16-21 / 21-19,Pearly TA.. / THINAAH.. (1) Rank 2 Elo 2325 (-34),81,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025
19/12/2025,Group A,WS,AN Se Young (1) Rank 1 Elo 2788 (+9),14-21 / 21-5 / 21-14,Akane YAMAGUCHI (4) Rank 3 Elo 2518 (-9),47,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025
19/12/2025,Group B,XD,FENG Ya.. / HUANG .. (2) Rank 1 Elo 2472 (+11),21-18 / 26-24,CHEN Ta.. / TOH Ee .. (3) Rank 4 Elo 2237 (-10),53,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025
19/12/2025,Group A,WS,Putri Kusuma WARDANI Rank 7 Elo 2228 (+19),21-17 / 21-9,Tomoka MIYAZAKI Rank 9 Elo 2151 (-20),39,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025
