date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
2022-12-11,Final,XD,ZHENG .. / HUANG Y.. Rank 3 Elo 2483 (+15),21-19 / 18-21 / 21-13,Dechapol.. / Sapsiree .. Rank 1 Elo 2311 (-15),62,https://badmintonranks.com/tournament?id=12828,1,ZHENG .. / HUANG Y..,3,2483,Dechapol.. / Sapsiree ..,1,2311
2022-12-11,Final,MS,Viktor AXELSEN Rank 1 Elo 2633 (+10),21-13 / 21-14,Anthony Sinisuka GINTI.. Rank 7 Elo 2378 (-10),41,https://badmintonranks.com/tournament?id=12828,1,Viktor AXELSEN,1,2633,Anthony Sinisuka GINTI..,7,2378
2022-12-11,Final,WD,CHEN Qi.. / JIA Yi Fan Rank 1 Elo 2355 (+7),21-13 / 21-14,Benyapa .. / Nuntakarn.. Rank 13 Elo 2029 (-7),37,https://badmintonranks.com/tournament?id=12828,1,CHEN Qi.. / JIA Yi Fan,1,2355,Benyapa .. / Nuntakarn..,13,2029
2022-12-11,Final,MD,LIU Yu C.. / OU Xuan .. Rank 11 Elo 2181 (+20),21-17 / 19-21 / 21-12,Hendra S.. / Mohamma.. Rank 6 Elo 2081 (-20),59,https://badmintonranks.com/tournament?id=12828,1,LIU Yu C.. / OU Xuan ..,11,2181,Hendra S.. / Mohamma..,6,2081
2022-12-11,Final,WS,Akane YAMAGUCHI Rank 1 Elo 2525 (+25),21-18 / 22-20,TAI Tzu Ying Rank 3 Elo 2499 (-25),46,https://badmintonranks.com/tournament?id=12828,1,Akane YAMAGUCHI,1,2525,TAI Tzu Ying,3,2499
2022-12-10,Semi final,XD,Dechapol.. / Sapsiree .. Rank 1 Elo 2304 (+7),24-22 / 16-21 / 21-14,Rinov RI.. / Pitha Hani.. Rank 13 Elo 1977 (-8),73,https://badmintonranks.com/tournament?id=12828,1,Dechapol.. / Sapsiree ..,1,2304,Rinov RI.. / Pitha Hani..,13,1977
2022-12-10,Semi final,MS,Viktor AXELSEN Rank 1 Elo 2627 (+6),21-23 / 21-19 / 21-18,Kodai NARAOKA Rank 14 Elo 2260 (-5),83,https://badmintonranks.com/tournament?id=12828,1,Viktor AXELSEN,1,2627,Kodai NARAOKA,14,2260
2022-12-10,Semi final,XD,ZHENG .. / HUANG Y.. Rank 3 Elo 2480 (+3),21-10 / 21-15,TAN Kian.. / LAI Pei Jin.. Rank 8 Elo 2006 (-4),27,https://badmintonranks.com/tournament?id=12828,1,ZHENG .. / HUANG Y..,3,2480,TAN Kian.. / LAI Pei Jin..,8,2006
2022-12-10,Semi final,MS,Anthony Sinisuka GINTI.. Rank 7 Elo 2359 (+19),21-15 / 11-21 / 21-18,Jonatan CHRISTIE Rank 5 Elo 2253 (-19),56,https://badmintonranks.com/tournament?id=12828,1,Anthony Sinisuka GINTI..,7,2359,Jonatan CHRISTIE,5,2253
2022-12-10,Semi final,MD,LIU Yu C.. / OU Xuan .. Rank 11 Elo 2150 (+31),22-20 / 11-21 / 21-19,Fajar ALF.. / Muhamma.. Rank 3 Elo 2199 (-31),57,https://badmintonranks.com/tournament?id=12828,1,LIU Yu C.. / OU Xuan ..,11,2150,Fajar ALF.. / Muhamma..,3,2199
