date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
2023-09-10,Final,MD,LIANG W.. / WANG C.. (3) Rank 3 Elo 2226 (+27),21-12 / 21-14,Aaron CH.. / SOH Wo.. (4) Rank 6 Elo 2223 (-27),26,https://badmintonranks.com/tournament?id=12750,1,LIANG W.. / WANG C.. (3),3.0,2226,Aaron CH.. / SOH Wo.. (4),6.0,2223
2023-09-10,Final,MS,Viktor AXELSEN (1) Rank 1 Elo 2600 (+6),21-16 / 21-19,LU Guang Zu Rank 15 Elo 2250 (-7),49,https://badmintonranks.com/tournament?id=12750,1,Viktor AXELSEN (1),1.0,2600,LU Guang Zu,15.0,2250
2023-09-10,Final,WS,AN Se Young (1) Rank 1 Elo 2782 (+10),21-10 / 21-19,Akane YAMAGUCHI (2) Rank 2 Elo 2523 (-10),38,https://badmintonranks.com/tournament?id=12750,1,AN Se Young (1),1.0,2782,Akane YAMAGUCHI (2),2.0,2523
2023-09-10,Final,WD,CHEN Qi.. / JIA Yi Fan (1) Rank 1 Elo 2444 (+15),21-11 / 21-17,BAEK Ha.. / LEE So H.. (2) Rank 2 Elo 2278 (-15),50,https://badmintonranks.com/tournament?id=12750,1,CHEN Qi.. / JIA Yi Fan (1),1.0,2444,BAEK Ha.. / LEE So H.. (2),2.0,2278
2023-09-10,Final,XD,SEO Seu.. / CHAE Yu.. (5) Rank 5 Elo 2330 (+10),21-19 / 21-12,Thom GI.. / Delphine .. (8) Rank 8 Elo 2085 (-11),40,https://badmintonranks.com/tournament?id=12750,1,SEO Seu.. / CHAE Yu.. (5),5.0,2330,Thom GI.. / Delphine .. (8),8.0,2085
2023-09-09,Semi final,MD,Aaron CH.. / SOH Wo.. (4) Rank 6 Elo 2186 (+37),21-18 / 21-17,KANG Mi.. / SEO Seu.. (6) Rank 4 Elo 2318 (-37),41,https://badmintonranks.com/tournament?id=12750,1,Aaron CH.. / SOH Wo.. (4),6.0,2186,KANG Mi.. / SEO Seu.. (6),4.0,2318
2023-09-09,Semi final,MD,LIANG W.. / WANG C.. (3) Rank 3 Elo 2200 (+26),21-16 / 20-22 / 22-20,Takuro H.. / Yugo KO.. (5) Rank 5 Elo 2182 (-25),67,https://badmintonranks.com/tournament?id=12750,1,LIANG W.. / WANG C.. (3),3.0,2200,Takuro H.. / Yugo KO.. (5),5.0,2182
2023-09-09,Semi final,MS,LU Guang Zu Rank 15 Elo 2214 (+36),21-13 / 21-14,SHI Yu Qi (8) Rank 5 Elo 2336 (-36),41,https://badmintonranks.com/tournament?id=12750,1,LU Guang Zu,15.0,2214,SHI Yu Qi (8),5.0,2336
2023-09-09,Semi final,MS,Viktor AXELSEN (1) Rank 1 Elo 2592 (+8),21-17 / 21-14,Jonatan CHRISTIE (5) Rank 9 Elo 2297 (-8),48,https://badmintonranks.com/tournament?id=12750,1,Viktor AXELSEN (1),1.0,2592,Jonatan CHRISTIE (5),9.0,2297
2023-09-09,Semi final,WS,Akane YAMAGUCHI (2) Rank 2 Elo 2493 (+30),19-21 / 21-15 / 21-17,CHEN Yu Fei (3) Rank 3 Elo 2545 (-31),65,https://badmintonranks.com/tournament?id=12750,1,Akane YAMAGUCHI (2),2.0,2493,CHEN Yu Fei (3),3.0,2545
2023-09-09,Semi final,WS,AN Se Young (1) Rank 1 Elo 2770 (+12),21-18 / 21-14,TAI Tzu Ying (4) Rank 4 Elo 2551 (-12),48,https://badmintonranks.com/tournament?id=12750,1,AN Se Young (1),1.0,2770,TAI Tzu Ying (4),4.0,2551
2023-09-09,Semi final,WD,BAEK Ha.. / LEE So H.. (2) Rank 2 Elo 2266 (+12),21-18 / 21-14,Rena MI.. / Ayako SA.. Rank 13 Elo 2064 (-13),43,https://badmintonranks.com/tournament?id=12750,1,BAEK Ha.. / LEE So H.. (2),2.0,2266,Rena MI.. / Ayako SA..,13.0,2064
2023-09-09,Semi final,XD,Thom GI.. / Delphine .. (8) Rank 8 Elo 2053 (+32),21-16 / 21-13,CHEN Ta.. / TOH Ee W.. Rank 11 Elo 2107 (-32),38,https://badmintonranks.com/tournament?id=12750,1,Thom GI.. / Delphine .. (8),8.0,2053,CHEN Ta.. / TOH Ee W..,11.0,2107
2023-09-09,Semi final,WD,CHEN Qi.. / JIA Yi Fan (1) Rank 1 Elo 2433 (+11),20-22 / 21-15 / 21-16,Nami MA.. / Chiharu .. (7) Rank 7 Elo 2188 (-11),73,https://badmintonranks.com/tournament?id=12750,1,CHEN Qi.. / JIA Yi Fan (1),1.0,2433,Nami MA.. / Chiharu .. (7),7.0,2188
2023-09-09,Semi final,XD,SEO Seu.. / CHAE Yu.. (5) Rank 5 Elo 2324 (+6),21-19 / 21-11,TAN Kian.. / LAI Pei Jin.. Rank 23 Elo 1947 (-6),34,https://badmintonranks.com/tournament?id=12750,1,SEO Seu.. / CHAE Yu.. (5),5.0,2324,TAN Kian.. / LAI Pei Jin..,23.0,1947
2023-09-08,Quarter final,MS,Viktor AXELSEN (1) Rank 1 Elo 2586 (+6),21-17 / 23-21,LOH Kean Yew (7) Rank 8 Elo 2204 (-5),51,https://badmintonranks.com/tournament?id=12750,1,Viktor AXELSEN (1),1.0,2586,LOH Kean Yew (7),8.0,2204
2023-09-08,Quarter final,MD,KANG Mi.. / SEO Seu.. (6) Rank 4 Elo 2306 (+12),21-15 / 21-17,Muhamm.. / Bagas MA.. Rank 13 Elo 2094 (-13),39,https://badmintonranks.com/tournament?id=12750,1,KANG Mi.. / SEO Seu.. (6),4.0,2306,Muhamm.. / Bagas MA..,13.0,2094
2023-09-08,Quarter final,MS,LU Guang Zu Rank 15 Elo 2191 (+23),14-21 / 21-18 / 21-8,Kanta TSUNEYAMA Rank 17 Elo 2140 (-22),67,https://badmintonranks.com/tournament?id=12750,1,LU Guang Zu,15.0,2191,Kanta TSUNEYAMA,17.0,2140
2023-09-08,Quarter final,MS,Jonatan CHRISTIE (5) Rank 9 Elo 2284 (+13),21-12 / 21-17,Shesar Hiren RHUSTAV.. Rank 45 Elo 2086 (-13),36,https://badmintonranks.com/tournament?id=12750,1,Jonatan CHRISTIE (5),9.0,2284,Shesar Hiren RHUSTAV..,45.0,2086
2023-09-08,Quarter final,MS,SHI Yu Qi (8) Rank 5 Elo 2306 (+30),18-21 / 21-9 / 22-20,Kodai NARAOKA (4) Rank 3 Elo 2349 (-29),85,https://badmintonranks.com/tournament?id=12750,1,SHI Yu Qi (8),5.0,2306,Kodai NARAOKA (4),3.0,2349
2023-09-08,Quarter final,MD,Aaron CH.. / SOH Wo.. (4) Rank 6 Elo 2169 (+17),19-21 / 21-19 / 21-11,ONG Yew.. / TEO Ee .. (8) Rank 8 Elo 2034 (-17),62,https://badmintonranks.com/tournament?id=12750,2,Aaron CH.. / SOH Wo.. (4),6.0,2169,ONG Yew.. / TEO Ee .. (8),8.0,2034
2023-09-08,Quarter final,WS,CHEN Yu Fei (3) Rank 3 Elo 2529 (+16),21-18 / 21-11,HE Bing Jiao (5) Rank 5 Elo 2386 (-16),47,https://badmintonranks.com/tournament?id=12750,2,CHEN Yu Fei (3),3.0,2529,HE Bing Jiao (5),5.0,2386
2023-09-08,Quarter final,WS,Akane YAMAGUCHI (2) Rank 2 Elo 2489 (+4),21-15 / 21-13,Line Højmark KJAERSF.. Rank 30 Elo 2020 (-4),33,https://badmintonranks.com/tournament?id=12750,2,Akane YAMAGUCHI (2),2.0,2489,Line Højmark KJAERSF..,30.0,2020
2023-09-08,Quarter final,WD,Rena MI.. / Ayako SA.. Rank 13 Elo 2034 (+30),20-22 / 21-18 / 21-16,LIU Shen.. / TAN Ning Rank 18 Elo 2061 (-29),75,https://badmintonranks.com/tournament?id=12750,2,Rena MI.. / Ayako SA..,13.0,2034,LIU Shen.. / TAN Ning,18.0,2061
2023-09-08,Quarter final,WD,Nami MA.. / Chiharu .. (7) Rank 7 Elo 2162 (+26),21-14 / 21-16,Mayu MA.. / Wakana .. (4) Rank 6 Elo 2150 (-25),45,https://badmintonranks.com/tournament?id=12750,2,Nami MA.. / Chiharu .. (7),7.0,2162,Mayu MA.. / Wakana .. (4),6.0,2150
2023-09-08,Quarter final,WD,BAEK Ha.. / LEE So H.. (2) Rank 2 Elo 2245 (+21),21-15 / 18-21 / 21-10,Apriyani .. / Siti Fadia .. Rank 9 Elo 2171 (-21),75,https://badmintonranks.com/tournament?id=12750,2,BAEK Ha.. / LEE So H.. (2),2.0,2245,Apriyani .. / Siti Fadia ..,9.0,2171
2023-09-08,Quarter final,WD,CHEN Qi.. / JIA Yi Fan (1) Rank 1 Elo 2423 (+10),21-18 / 21-11,Yuki FUK.. / Sayaka H.. (5) Rank 4 Elo 2166 (-10),45,https://badmintonranks.com/tournament?id=12750,2,CHEN Qi.. / JIA Yi Fan (1),1.0,2423,Yuki FUK.. / Sayaka H.. (5),4.0,2166
2023-09-08,Quarter final,MD,Takuro H.. / Yugo KO.. (5) Rank 5 Elo 2155 (+27),21-12 / 21-17,Kim AST.. / Anders Sk.. Rank 9 Elo 2164 (-27),40,https://badmintonranks.com/tournament?id=12750,2,Takuro H.. / Yugo KO.. (5),5.0,2155,Kim AST.. / Anders Sk..,9.0,2164
2023-09-08,Quarter final,MD,LIANG W.. / WANG C.. (3) Rank 3 Elo 2181 (+19),21-18 / 21-19,LIU Yu C.. / OU Xuan .. (7) Rank 7 Elo 2083 (-20),39,https://badmintonranks.com/tournament?id=12750,2,LIANG W.. / WANG C.. (3),3.0,2181,LIU Yu C.. / OU Xuan .. (7),7.0,2083
2023-09-08,Quarter final,XD,TAN Kian.. / LAI Pei Jin.. Rank 23 Elo 1895 (+52),21-18 / 21-19,Dechapol.. / Sapsiree .. (4) Rank 4 Elo 2235 (-47),41,https://badmintonranks.com/tournament?id=12750,2,TAN Kian.. / LAI Pei Jin..,23.0,1895,Dechapol.. / Sapsiree .. (4),4.0,2235
2023-09-08,Quarter final,WS,TAI Tzu Ying (4) Rank 4 Elo 2527 (+24),21-17 / 10-21 / 21-19,Carolina MARIN (6) Rank 6 Elo 2498 (-24),68,https://badmintonranks.com/tournament?id=12750,2,TAI Tzu Ying (4),4.0,2527,Carolina MARIN (6),6.0,2498
2023-09-08,Quarter final,WS,AN Se Young (1) Rank 1 Elo 2767 (+3),15-21 / 21-15 / 21-17,HAN Yue Rank 9 Elo 2268 (-3),63,https://badmintonranks.com/tournament?id=12750,2,AN Se Young (1),1.0,2767,HAN Yue,9.0,2268
2023-09-08,Quarter final,XD,Thom GI.. / Delphine .. (8) Rank 8 Elo 2006 (+47),22-20 / 21-14,Yuta WAT.. / Arisa IGA.. (2) Rank 2 Elo 2302 (-45),44,https://badmintonranks.com/tournament?id=12750,2,Thom GI.. / Delphine .. (8),8.0,2006,Yuta WAT.. / Arisa IGA.. (2),2.0,2302
