date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
27/7/2025,Final,MD,Fajar ALF.. / Muhamma.. Rank 86 Elo 2070 (+40),21-15 / 21-14,Aaron CH.. / SOH Wo.. (2) Rank 2 Elo 2240 (-40),35,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,Fajar ALF.. / Muhamma..,86,2070,Aaron CH.. / SOH Wo.. (2),2,2240
27/7/2025,Final,WS,WANG Zhi Yi (2) Rank 2 Elo 2541 (+16),21-8 / 21-13,HAN Yue (4) Rank 3 Elo 2378 (-15),39,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,WANG Zhi Yi (2),2,2541,HAN Yue (4),3,2378
27/7/2025,Final,MS,SHI Yu Qi (3) Rank 2 Elo 2536 (+6),14-21 / 21-14 / 21-15,WANG Zheng Xing Rank 23 Elo 2173 (-6),64,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,SHI Yu Qi (3),2,2536,WANG Zheng Xing,23,2173
27/7/2025,Final,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2439 (+15),24-22 / 17-21 / 21-14,JIA Yi Fan / ZHANG S.. Rank 7 Elo 2266 (-15),69,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,LIU Shen.. / TAN Ning (1),1,2439,JIA Yi Fan / ZHANG S..,7,2266
27/7/2025,Final,XD,FENG Ya.. / HUANG .. (1) Rank 1 Elo 2410 (+23),23-21 / 21-17,JIANG Zh.. / WEI Ya X.. (2) Rank 2 Elo 2347 (-22),47,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,FENG Ya.. / HUANG .. (1),1,2410,JIANG Zh.. / WEI Ya X.. (2),2,2347
26/7/2025,Semi final,MD,Aaron CH.. / SOH Wo.. (2) Rank 2 Elo 2216 (+24),21-13 / 21-17,Satwiksai.. / Chirag SH.. Rank 12 Elo 2173 (-24),42,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,Aaron CH.. / SOH Wo.. (2),2,2216,Satwiksai.. / Chirag SH..,12,2173
26/7/2025,Semi final,WS,HAN Yue (4) Rank 3 Elo 2358 (+20),21-19 / 11-6 Ret.,AN Se Young (1) Rank 1 Elo 2786 (-20),33,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,HAN Yue (4),3,2358,AN Se Young (1),1,2786
26/7/2025,Semi final,MD,Fajar ALF.. / Muhamma.. Rank 86 Elo 2033 (+37),21-19 / 21-17,LIANG W.. / WANG C.. (5) Rank 6 Elo 2147 (-35),37,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,Fajar ALF.. / Muhamma..,86,2033,LIANG W.. / WANG C.. (5),6,2147
26/7/2025,Semi final,WS,WANG Zhi Yi (2) Rank 2 Elo 2522 (+19),22-20 / 21-11,Akane YAMAGUCHI (3) Rank 4 Elo 2419 (-19),47,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,WANG Zhi Yi (2),2,2522,Akane YAMAGUCHI (3),4,2419
26/7/2025,Semi final,MS,WANG Zheng Xing Rank 23 Elo 2129 (+44),21-18 / 21-15,Anders ANTONSEN (2) Rank 3 Elo 2381 (-43),48,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,WANG Zheng Xing,23,2129,Anders ANTONSEN (2),3,2381
26/7/2025,Semi final,MS,SHI Yu Qi (3) Rank 2 Elo 2526 (+10),21-13 / 22-20,CHOU Tien Chen (6) Rank 6 Elo 2268 (-10),45,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,SHI Yu Qi (3),2,2526,CHOU Tien Chen (6),6,2268
26/7/2025,Semi final,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2426 (+13),21-10 / 21-12,KIM Hye .. / KONG H.. (7) Rank 6 Elo 2224 (-13),40,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,LIU Shen.. / TAN Ning (1),1,2426,KIM Hye .. / KONG H.. (7),6,2224
26/7/2025,Semi final,XD,JIANG Zh.. / WEI Ya X.. (2) Rank 2 Elo 2338 (+9),16-21 / 21-15 / 21-16,Jafar HID.. / Felisha Al.. Rank 14 Elo 2059 (-9),64,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,JIANG Zh.. / WEI Ya X.. (2),2,2338,Jafar HID.. / Felisha Al..,14,2059
26/7/2025,Semi final,WD,JIA Yi Fan / ZHANG S.. Rank 7 Elo 2238 (+28),21-14 / 21-17,Pearly TA.. / THINAAH.. (3) Rank 3 Elo 2249 (-28),38,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,JIA Yi Fan / ZHANG S..,7,2238,Pearly TA.. / THINAAH.. (3),3,2249
26/7/2025,Semi final,XD,FENG Ya.. / HUANG .. (1) Rank 1 Elo 2402 (+8),21-17 / 21-11,GUO Xin .. / CHEN Fa.. Rank 9 Elo 2105 (-8),41,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,FENG Ya.. / HUANG .. (1),1,2402,GUO Xin .. / CHEN Fa..,9,2105
25/7/2025,Quarter final,MD,Satwiksai.. / Chirag SH.. Rank 12 Elo 2158 (+15),21-18 / 21-14,ONG Yew.. / TEO Ee Yi Rank 28 Elo 1998 (-16),40,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,Satwiksai.. / Chirag SH..,12,2158,ONG Yew.. / TEO Ee Yi,28,1998
25/7/2025,Quarter final,MD,Aaron CH.. / SOH Wo.. (2) Rank 2 Elo 2193 (+23),21-16 / 21-16,MAN Wei.. / TEE Kai .. (6) Rank 7 Elo 2148 (-23),33,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,Aaron CH.. / SOH Wo.. (2),2,2193,MAN Wei.. / TEE Kai .. (6),7,2148
25/7/2025,Quarter final,MD,LIANG W.. / WANG C.. (5) Rank 6 Elo 2128 (+19),21-16 / 22-20,KANG Mi.. / KI Dong Ju Rank 40 Elo 2036 (-20),43,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,LIANG W.. / WANG C.. (5),6,2128,KANG Mi.. / KI Dong Ju,40,2036
25/7/2025,Quarter final,MS,Anders ANTONSEN (2) Rank 3 Elo 2369 (+12),19-21 / 21-12 / 21-8,Toma Junior POPOV Rank 17 Elo 2167 (-12),72,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,Anders ANTONSEN (2),3,2369,Toma Junior POPOV,17,2167
25/7/2025,Quarter final,WS,AN Se Young (1) Rank 1 Elo 2769 (+17),21-18 / 21-19,CHEN Yu Fei (5) Rank 5 Elo 2645 (-17),54,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,AN Se Young (1),1,2769,CHEN Yu Fei (5),5,2645
25/7/2025,Quarter final,MD,Fajar ALF.. / Muhamma.. Rank 86 Elo 1984 (+49),21-19 / 21-14,KIM Won .. / SEO Seu.. (3) Rank 1 Elo 2320 (-46),43,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,Fajar ALF.. / Muhamma..,86,1984,KIM Won .. / SEO Seu.. (3),1,2320
25/7/2025,Quarter final,MS,WANG Zheng Xing Rank 23 Elo 2090 (+39),21-6 / 22-20,Christo POPOV Rank 14 Elo 2252 (-37),36,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,WANG Zheng Xing,23,2090,Christo POPOV,14,2252
25/7/2025,Quarter final,WD,KIM Hye .. / KONG H.. (7) Rank 6 Elo 2200 (+24),6-21 / 22-20 / 21-12,BAEK Ha.. / LEE So H.. (4) Rank 4 Elo 2160 (-24),64,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,KIM Hye .. / KONG H.. (7),6,2200,BAEK Ha.. / LEE So H.. (4),4,2160
25/7/2025,Quarter final,WS,HAN Yue (4) Rank 3 Elo 2341 (+17),21-19 / 21-18,Gregoria Mariska TUN.. (8) Rank 8 Elo 2213 (-17),34,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,HAN Yue (4),3,2341,Gregoria Mariska TUN.. (8),8,2213
25/7/2025,Quarter final,WD,Pearly TA.. / THINAAH.. (3) Rank 3 Elo 2232 (+17),21-16 / 21-12,Yuki FUK.. / Mayu MA.. (8) Rank 9 Elo 2099 (-17),39,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,Pearly TA.. / THINAAH.. (3),3,2232,Yuki FUK.. / Mayu MA.. (8),9,2099
25/7/2025,Quarter final,WD,JIA Yi Fan / ZHANG S.. Rank 7 Elo 2232 (+6),21-7 / 21-15,GO Pei K.. / TEOH Mei.. Rank 22 Elo 1876 (-6),34,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,JIA Yi Fan / ZHANG S..,7,2232,GO Pei K.. / TEOH Mei..,22,1876
25/7/2025,Quarter final,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2421 (+5),21-13 / 17-21 / 21-16,LI Yi jing / LUO Xu .. (5) Rank 5 Elo 2043 (-5),69,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,LIU Shen.. / TAN Ning (1),1,2421,LI Yi jing / LUO Xu .. (5),5,2043
25/7/2025,Quarter final,WS,Akane YAMAGUCHI (3) Rank 4 Elo 2416 (+3),21-16 / 21-12,Unnati HOODA Rank 35 Elo 1942 (-4),33,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,Akane YAMAGUCHI (3),4,2416,Unnati HOODA,35,1942
25/7/2025,Quarter final,MS,SHI Yu Qi (3) Rank 2 Elo 2513 (+13),15-21 / 21-15 / 21-11,LI Shi Feng (5) Rank 5 Elo 2326 (-13),61,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,SHI Yu Qi (3),2,2513,LI Shi Feng (5),5,2326
25/7/2025,Quarter final,XD,Jafar HID.. / Felisha Al.. Rank 14 Elo 2023 (+36),21-13 / 18-21 / 21-17,TANG Ch.. / TSE Ying.. (3) Rank 5 Elo 2136 (-36),69,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,Jafar HID.. / Felisha Al..,14,2023,TANG Ch.. / TSE Ying.. (3),5,2136
25/7/2025,Quarter final,XD,FENG Ya.. / HUANG .. (1) Rank 1 Elo 2398 (+4),21-14 / 21-11,Rehan N.. / Gloria Em.. Rank 16 Elo 1956 (-4),38,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,FENG Ya.. / HUANG .. (1),1,2398,Rehan N.. / Gloria Em..,16,1956
25/7/2025,Quarter final,MS,CHOU Tien Chen (6) Rank 6 Elo 2227 (+41),21-17 / 21-11,Kunlavut VITIDSARN (1) Rank 1 Elo 2443 (-41),37,https://badmintonranks.com/tournament?id=14501,2,China Open 2025,CHOU Tien Chen (6),6,2227,Kunlavut VITIDSARN (1),1,2443
