date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number
2022-06-19,Final,MD,LIU Yu C.. / OU Xuan .. Rank 75 Elo 2045 (+20),21-17 / 23-21,CHOI Sol.. / KIM Won .. Rank 83 Elo 1937 (-20),49,https://badmintonranks.com/tournament?id=12514,1
2022-06-19,Final,MS,Viktor AXELSEN (1) Rank 1 Elo 2645 (+3),21-9 / 21-10,ZHAO Jun Peng Rank 35 Elo 2165 (-4),38,https://badmintonranks.com/tournament?id=12514,1
2022-06-19,Final,WD,Nami MA.. / Chiharu .. (6) Rank 7 Elo 2283 (+18),18-21 / 21-14 / 21-17,Yuki FUK.. / Sayaka H.. (4) Rank 4 Elo 2164 (-19),75,https://badmintonranks.com/tournament?id=12514,1
2022-06-19,Final,WS,TAI Tzu Ying (2) Rank 2 Elo 2550 (+10),21-23 / 21-6 / 21-15,WANG Zhi Yi Rank 14 Elo 2300 (-11),60,https://badmintonranks.com/tournament?id=12514,1
2022-06-19,Final,XD,ZHENG .. / HUANG .. (2) Rank 2 Elo 2372 (+25),21-14 / 21-16,Yuta WAT.. / Arisa IGA.. (3) Rank 3 Elo 2349 (-25),41,https://badmintonranks.com/tournament?id=12514,1
2022-06-18,Semi final,MD,CHOI Sol.. / KIM Won .. Rank 83 Elo 1890 (+47),13-21 / 21-12 / 21-18,Kim AST.. / Anders S.. (8) Rank 9 Elo 2110 (-43),68,https://badmintonranks.com/tournament?id=12514,1
2022-06-18,Semi final,MS,ZHAO Jun Peng Rank 35 Elo 2132 (+33),21-16 / 21-15,PRANNOY H. S. Rank 23 Elo 2206 (-33),40,https://badmintonranks.com/tournament?id=12514,1
2022-06-18,Semi final,WD,Yuki FUK.. / Sayaka H.. (4) Rank 4 Elo 2134 (+30),9-21 / 21-14 / 21-18,LEE So H.. / SHIN Se.. (2) Rank 2 Elo 2171 (-30),68,https://badmintonranks.com/tournament?id=12514,1
2022-06-18,Semi final,MD,LIU Yu C.. / OU Xuan .. Rank 75 Elo 2008 (+37),21-18 / 21-13,Aaron CH.. / SOH Wo.. (5) Rank 7 Elo 2124 (-36),38,https://badmintonranks.com/tournament?id=12514,1
2022-06-18,Semi final,MS,Viktor AXELSEN (1) Rank 1 Elo 2630 (+15),19-21 / 21-11 / 23-21,LEE Zii Jia (6) Rank 5 Elo 2453 (-14),70,https://badmintonranks.com/tournament?id=12514,1
2022-06-18,Semi final,WD,Nami MA.. / Chiharu .. (6) Rank 7 Elo 2273 (+10),21-15 / 21-14,Jongkolp.. / Rawinda .. (7) Rank 8 Elo 2009 (-10),42,https://badmintonranks.com/tournament?id=12514,1
2022-06-18,Semi final,WS,TAI Tzu Ying (2) Rank 2 Elo 2523 (+27),10-21 / 26-24 / 21-12,CHEN Yu Fei (4) Rank 4 Elo 2524 (-27),69,https://badmintonranks.com/tournament?id=12514,1
2022-06-18,Semi final,XD,ZHENG .. / HUANG .. (2) Rank 2 Elo 2352 (+20),21-6 / 21-14,WANG Yi.. / HUANG .. (4) Rank 4 Elo 2252 (-19),33,https://badmintonranks.com/tournament?id=12514,1
2022-06-18,Semi final,WS,WANG Zhi Yi Rank 14 Elo 2258 (+42),21-15 / 21-10,HE Bing Jiao Rank 9 Elo 2466 (-42),42,https://badmintonranks.com/tournament?id=12514,1
2022-06-18,Semi final,XD,Yuta WAT.. / Arisa IGA.. (3) Rank 3 Elo 2339 (+10),21-18 / 17-21 / 21-15,SEO Seu.. / CHAE Yu.. (6) Rank 6 Elo 2088 (-11),69,https://badmintonranks.com/tournament?id=12514,1
2022-06-17,Quarter final,MD,Kim AST.. / Anders S.. (8) Rank 9 Elo 2075 (+35),21-17 / 16-21 / 21-14,Takuro H.. / Yugo KO.. (3) Rank 2 Elo 2179 (-34),63,https://badmintonranks.com/tournament?id=12514,1
2022-06-17,Quarter final,MS,PRANNOY H. S. Rank 23 Elo 2183 (+23),21-14 / 21-12,Rasmus GEMKE Rank 13 Elo 2127 (-23),40,https://badmintonranks.com/tournament?id=12514,1
2022-06-17,Quarter final,MD,LIU Yu C.. / OU Xuan .. Rank 75 Elo 1963 (+45),21-18 / 21-18,Fajar ALF.. / Muhamm.. (6) Rank 6 Elo 2204 (-42),45,https://badmintonranks.com/tournament?id=12514,1
