date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
2021-11-28,Final,MS,Viktor AXELSEN (2) Rank 2 Elo 2596 (+8),21-13 / 9-21 / 21-13,LOH Kean Yew Rank 26 Elo 2282 (-8),59.0,https://badmintonranks.com/tournament?id=12423,1,Viktor AXELSEN (2),2.0,2596,LOH Kean Yew,26.0,2282
2021-11-28,Final,MD,Marcus G.. / Kevin SU.. (1) Rank 1 Elo 2296 (+25),21-14 / 21-18,Takuro H.. / Yugo KOB.. Rank 7 Elo 2262 (-25),38.0,https://badmintonranks.com/tournament?id=12423,1,Marcus G.. / Kevin SU.. (1),1.0,2296,Takuro H.. / Yugo KOB..,7.0,2262
2021-11-28,Final,XD,Dechapol.. / Sapsiree .. (1) Rank 2 Elo 2316 (+33),21-12 / 21-13,Yuta WAT.. / Arisa IGA.. (3) Rank 4 Elo 2386 (-33),41.0,https://badmintonranks.com/tournament?id=12423,1,Dechapol.. / Sapsiree .. (1),2.0,2316,Yuta WAT.. / Arisa IGA.. (3),4.0,2386
2021-11-28,Final,WD,Nami MA.. / Chiharu .. (4) Rank 9 Elo 2188 (+31),21-19 / 21-19,Greysia P.. / Apriyani .. (2) Rank 6 Elo 2227 (-31),65.0,https://badmintonranks.com/tournament?id=12423,1,Nami MA.. / Chiharu .. (4),9.0,2188,Greysia P.. / Apriyani .. (2),6.0,2227
2021-11-28,Final,WS,AN Se Young (4) Rank 6 Elo 2465 (+14),21-17 / 22-20,Ratchanok INTANON (2) Rank 8 Elo 2285 (-14),46.0,https://badmintonranks.com/tournament?id=12423,1,AN Se Young (4),6.0,2465,Ratchanok INTANON (2),8.0,2285
2021-11-27,Semi final,MS,LOH Kean Yew Rank 26 Elo 2262 (+20),21-14 / 21-7,Rasmus GEMKE Rank 13 Elo 2173 (-21),42.0,https://badmintonranks.com/tournament?id=12423,1,LOH Kean Yew,26.0,2262,Rasmus GEMKE,13.0,2173
2021-11-27,Semi final,MD,Takuro H.. / Yugo KOB.. Rank 7 Elo 2253 (+9),22-20 / 21-14,Akira KO.. / Taichi SAI.. Rank 24 Elo 1973 (-9),48.0,https://badmintonranks.com/tournament?id=12423,1,Takuro H.. / Yugo KOB..,7.0,2253,Akira KO.. / Taichi SAI..,24.0,1973
2021-11-27,Semi final,MS,Viktor AXELSEN (2) Rank 2 Elo 2590 (+6),21-19 / 21-15,Jonatan CHRISTIE (6) Rank 8 Elo 2248 (-6),54.0,https://badmintonranks.com/tournament?id=12423,1,Viktor AXELSEN (2),2.0,2590,Jonatan CHRISTIE (6),8.0,2248
2021-11-27,Semi final,MD,Marcus G.. / Kevin SU.. (1) Rank 1 Elo 2283 (+13),21-16 / 21-18,Satwiksai.. / Chirag S.. (6) Rank 11 Elo 2092 (-13),44.0,https://badmintonranks.com/tournament?id=12423,1,Marcus G.. / Kevin SU.. (1),1.0,2283,Satwiksai.. / Chirag S.. (6),11.0,2092
2021-11-27,Semi final,WD,Nami MA.. / Chiharu .. (4) Rank 9 Elo 2181 (+7),21-19 / 21-18,BAEK Ha.. / LEE Yu Lim Rank 82 Elo 1867 (-9),58.0,https://badmintonranks.com/tournament?id=12423,1,Nami MA.. / Chiharu .. (4),9.0,2181,BAEK Ha.. / LEE Yu Lim,82.0,1867
