date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
8/6/2025,Final,MD,KIM Won .. / SEO Seu.. (5) Rank 6 Elo 2226 (+20),18-21 / 21-19 / 21-12,Sabar Ka.. / Moh Rez.. (8) Rank 8 Elo 2123 (-20),63,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,KIM Won .. / SEO Seu.. (5),6,2226,Sabar Ka.. / Moh Rez.. (8),8,2123
8/6/2025,Final,MS,Anders ANTONSEN (3) Rank 3 Elo 2370 (+18),22-20 / 21-14,CHOU Tien Chen (6) Rank 7 Elo 2253 (-19),60,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,Anders ANTONSEN (3),3,2370,CHOU Tien Chen (6),7,2253
8/6/2025,Final,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2368 (+14),23-25 / 21-12 / 21-19,Pearly TA.. / THINAAH.. (4) Rank 4 Elo 2182 (-14),87,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,LIU Shen.. / TAN Ning (1),1,2368,Pearly TA.. / THINAAH.. (4),4,2182
8/6/2025,Final,WS,AN Se Young (1) Rank 1 Elo 2715 (+13),13-21 / 21-19 / 21-15,WANG Zhi Yi (2) Rank 2 Elo 2504 (-12),81,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,AN Se Young (1),1,2715,WANG Zhi Yi (2),2,2504
8/6/2025,Final,XD,Thom GI.. / Delphine .. Rank 10 Elo 2082 (+41),21-16 / 21-18,Dechapol.. / Supissar.. (6) Rank 6 Elo 2256 (-41),48,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,Thom GI.. / Delphine ..,10,2082,Dechapol.. / Supissar.. (6),6,2256
7/6/2025,Semi final,MD,KIM Won .. / SEO Seu.. (5) Rank 6 Elo 2207 (+19),21-18 / 19-21 / 23-21,Fajar ALF.. / Muhamm.. (6) Rank 5 Elo 2099 (-19),79,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,KIM Won .. / SEO Seu.. (5),6,2207,Fajar ALF.. / Muhamm.. (6),5,2099
7/6/2025,Semi final,MD,Sabar Ka.. / Moh Rez.. (8) Rank 8 Elo 2090 (+33),21-18 / 12-21 / 21-18,MAN Wei.. / TEE Kai .. (7) Rank 7 Elo 2156 (-33),60,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,Sabar Ka.. / Moh Rez.. (8),8,2090,MAN Wei.. / TEE Kai .. (7),7,2156
7/6/2025,Semi final,MS,Anders ANTONSEN (3) Rank 3 Elo 2331 (+39),9-21 / 21-18 / 21-19,SHI Yu Qi (1) Rank 2 Elo 2492 (-38),69,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,Anders ANTONSEN (3),3,2331,SHI Yu Qi (1),2,2492
7/6/2025,Semi final,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2353 (+15),21-19 / 21-18,BAEK Ha.. / LEE So H.. (3) Rank 3 Elo 2181 (-15),59,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,LIU Shen.. / TAN Ning (1),1,2353,BAEK Ha.. / LEE So H.. (3),3,2181
7/6/2025,Semi final,MS,CHOU Tien Chen (6) Rank 7 Elo 2206 (+47),21-16 / 23-21,Kunlavut VITIDSARN (2) Rank 1 Elo 2515 (-46),59,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,CHOU Tien Chen (6),7,2206,Kunlavut VITIDSARN (2),1,2515
7/6/2025,Semi final,WD,Pearly TA.. / THINAAH.. (4) Rank 4 Elo 2161 (+21),12-21 / 21-17 / 21-11,LI Yi jing / LUO Xu .. (5) Rank 6 Elo 2082 (-22),64,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,Pearly TA.. / THINAAH.. (4),4,2161,LI Yi jing / LUO Xu .. (5),6,2082
7/6/2025,Semi final,WS,WANG Zhi Yi (2) Rank 2 Elo 2487 (+17),21-12 / 21-13,HAN Yue (4) Rank 4 Elo 2361 (-18),39,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,WANG Zhi Yi (2),2,2487,HAN Yue (4),4,2361
7/6/2025,Semi final,XD,Thom GI.. / Delphine .. Rank 10 Elo 2053 (+29),17-21 / 21-14 / 21-12,CHENG .. / ZHANG C.. Rank 11 Elo 2069 (-29),64,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,Thom GI.. / Delphine ..,10,2053,CHENG .. / ZHANG C..,11,2069
7/6/2025,Semi final,WS,AN Se Young (1) Rank 1 Elo 2708 (+7),21-18 / 21-17,Akane YAMAGUCHI (3) Rank 3 Elo 2396 (-8),51,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,AN Se Young (1),1,2708,Akane YAMAGUCHI (3),3,2396
7/6/2025,Semi final,XD,Dechapol.. / Supissar.. (6) Rank 6 Elo 2237 (+19),21-23 / 21-15 / 21-11,CHEN Ta.. / TOH Ee .. (2) Rank 4 Elo 2122 (-19),65,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,Dechapol.. / Supissar.. (6),6,2237,CHEN Ta.. / TOH Ee .. (2),4,2122
6/6/2025,Quarter final,MD,KIM Won .. / SEO Seu.. (5) Rank 6 Elo 2187 (+20),21-19 / 21-9,Takuro H.. / Yugo KOB.. Rank 19 Elo 2104 (-21),36,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,KIM Won .. / SEO Seu.. (5),6,2187,Takuro H.. / Yugo KOB..,19,2104
6/6/2025,Quarter final,MS,SHI Yu Qi (1) Rank 2 Elo 2489 (+3),21-13 / 21-6,WANG Zheng Xing Rank 30 Elo 2045 (-4),31,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,SHI Yu Qi (1),2,2489,WANG Zheng Xing,30,2045
6/6/2025,Quarter final,MS,Anders ANTONSEN (3) Rank 3 Elo 2315 (+16),23-21 / 21-9,LEE Cheuk Yiu Rank 21 Elo 2182 (-17),46,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,Anders ANTONSEN (3),3,2315,LEE Cheuk Yiu,21,2182
6/6/2025,Quarter final,MD,Sabar Ka.. / Moh Rez.. (8) Rank 8 Elo 2056 (+34),21-19 / 9-21 / 21-19,GOH Sze.. / Nur IZZU.. (1) Rank 1 Elo 2145 (-33),57,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,Sabar Ka.. / Moh Rez.. (8),8,2056,GOH Sze.. / Nur IZZU.. (1),1,2145
6/6/2025,Quarter final,MD,Fajar ALF.. / Muhamm.. (6) Rank 5 Elo 2085 (+14),21-19 / 23-21,HUANG .. / LIU Yang Rank 24 Elo 1918 (-16),52,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,Fajar ALF.. / Muhamm.. (6),5,2085,HUANG .. / LIU Yang,24,1918
6/6/2025,Quarter final,MS,Kunlavut VITIDSARN (2) Rank 1 Elo 2500 (+15),21-12 / 21-16,Alex LANIER (8) Rank 8 Elo 2327 (-14),49,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,Kunlavut VITIDSARN (2),1,2500,Alex LANIER (8),8,2327
6/6/2025,Quarter final,MS,CHOU Tien Chen (6) Rank 7 Elo 2168 (+38),14-21 / 21-13 / 21-17,LI Shi Feng (4) Rank 4 Elo 2340 (-38),70,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,CHOU Tien Chen (6),7,2168,LI Shi Feng (4),4,2340
6/6/2025,Quarter final,WD,Pearly TA.. / THINAAH.. (4) Rank 4 Elo 2133 (+28),21-6 / 21-18,Rin IWAN.. / Kie NAK.. (6) Rank 5 Elo 2152 (-28),37,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,Pearly TA.. / THINAAH.. (4),4,2133,Rin IWAN.. / Kie NAK.. (6),5,2152
6/6/2025,Quarter final,MD,MAN Wei.. / TEE Kai .. (7) Rank 7 Elo 2125 (+31),21-19 / 21-16,Satwiksai.. / Chirag SH.. Rank 22 Elo 2183 (-31),43,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,MAN Wei.. / TEE Kai .. (7),7,2125,Satwiksai.. / Chirag SH..,22,2183
6/6/2025,Quarter final,WS,WANG Zhi Yi (2) Rank 2 Elo 2475 (+12),21-18 / 23-21,GAO Fang jie Rank 14 Elo 2251 (-12),52,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,WANG Zhi Yi (2),2,2475,GAO Fang jie,14,2251
6/6/2025,Quarter final,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2335 (+18),21-18 / 21-10,KIM Hye .. / KONG H.. (7) Rank 7 Elo 2216 (-17),45,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,LIU Shen.. / TAN Ning (1),1,2335,KIM Hye .. / KONG H.. (7),7,2216
6/6/2025,Quarter final,WD,LI Yi jing / LUO Xu .. (5) Rank 6 Elo 2047 (+35),21-9 / 21-19,Yuki FUK.. / Mayu MAT.. Rank 9 Elo 2149 (-34),40,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,LI Yi jing / LUO Xu .. (5),6,2047,Yuki FUK.. / Mayu MAT..,9,2149
6/6/2025,Quarter final,WD,BAEK Ha.. / LEE So H.. (3) Rank 3 Elo 2168 (+13),18-21 / 21-16 / 21-7,Febriana .. / Amallia C.. (8) Rank 10 Elo 1972 (-14),67,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,BAEK Ha.. / LEE So H.. (3),3,2168,Febriana .. / Amallia C.. (8),10,1972
6/6/2025,Quarter final,WS,HAN Yue (4) Rank 4 Elo 2361 (+0),W.O.,CHEN Yu Fei (5) Rank 5 Elo 2659 (-3),0,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,HAN Yue (4),4,2361,CHEN Yu Fei (5),5,2659
6/6/2025,Quarter final,XD,CHENG .. / ZHANG C.. Rank 11 Elo 2041 (+28),21-19 / 21-13,Hiroki MI.. / Natsu SA.. (7) Rank 9 Elo 2055 (-29),42,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,CHENG .. / ZHANG C..,11,2041,Hiroki MI.. / Natsu SA.. (7),9,2055
6/6/2025,Quarter final,XD,Thom GI.. / Delphine .. Rank 10 Elo 2038 (+15),21-11 / 23-21,Adnan M.. / Indah Cah.. Rank 32 Elo 1874 (-17),43,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,Thom GI.. / Delphine ..,10,2038,Adnan M.. / Indah Cah..,32,1874
6/6/2025,Quarter final,WS,Akane YAMAGUCHI (3) Rank 3 Elo 2382 (+14),21-19 / 22-20,Putri Kusuma WARDANI Rank 12 Elo 2197 (-14),51,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,Akane YAMAGUCHI (3),3,2382,Putri Kusuma WARDANI,12,2197
6/6/2025,Quarter final,XD,Dechapol.. / Supissar.. (6) Rank 6 Elo 2223 (+14),21-16 / 21-12,GOH Soo.. / LAI Shev.. (3) Rank 5 Elo 2055 (-15),34,https://badmintonranks.com/tournament?id=14466,2,Indonesia Open 2025,Dechapol.. / Supissar.. (6),6,2223,GOH Soo.. / LAI Shev.. (3),5,2055
