date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number
2024-01-14,Final,MD,LIANG W.. / WANG C.. (1) Rank 1 Elo 2265 (+29),9-21 / 21-18 / 21-17,Satwiksai.. / Chirag S.. (2) Rank 2 Elo 2278 (-29),58,https://badmintonranks.com/tournament?id=10911,1
2024-01-14,Final,MS,Anders ANTONSEN Rank 9 Elo 2369 (+32),21-14 / 21-13,SHI Yu Qi (7) Rank 6 Elo 2425 (-32),55,https://badmintonranks.com/tournament?id=10911,1
2024-01-14,Final,WD,LIU Shen.. / TAN Ning (8) Rank 8 Elo 2283 (+20),21-18 / 21-18,ZHANG .. / ZHENG .. (5) Rank 7 Elo 2193 (-21),52,https://badmintonranks.com/tournament?id=10911,1
2024-01-14,Final,WS,AN Se Young (1) Rank 1 Elo 2668 (+19),10-21 / 21-10 / 21-18,TAI Tzu Ying (4) Rank 4 Elo 2561 (-19),58,https://badmintonranks.com/tournament?id=10911,1
2024-01-14,Final,XD,Yuta WAT.. / Arisa IGA.. (2) Rank 2 Elo 2236 (+23),21-18 / 21-15,KIM Won .. / JEONG .. (7) Rank 7 Elo 2176 (-23),37,https://badmintonranks.com/tournament?id=10911,1
2024-01-13,Semi final,MD,LIANG W.. / WANG C.. (1) Rank 1 Elo 2247 (+18),21-12 / 19-21 / 21-13,Takuro H.. / Yugo KO.. (7) Rank 7 Elo 2136 (-19),50,https://badmintonranks.com/tournament?id=10911,1
2024-01-13,Semi final,MS,SHI Yu Qi (7) Rank 6 Elo 2383 (+42),21-12 / 19-21 / 21-17,Viktor AXELSEN (1) Rank 1 Elo 2590 (-41),70,https://badmintonranks.com/tournament?id=10911,1
2024-01-13,Semi final,MD,Satwiksai.. / Chirag S.. (2) Rank 2 Elo 2251 (+27),21-18 / 22-20,KANG Mi.. / SEO Seu.. (6) Rank 3 Elo 2248 (-27),47,https://badmintonranks.com/tournament?id=10911,1
2024-01-13,Semi final,MS,Anders ANTONSEN Rank 9 Elo 2356 (+13),21-16 / 21-7,LIN Chun-Yi Rank 21 Elo 2164 (-13),41,https://badmintonranks.com/tournament?id=10911,1
2024-01-13,Semi final,WD,LIU Shen.. / TAN Ning (8) Rank 8 Elo 2268 (+15),21-11 / 21-16,Rin IWAN.. / Kie NAKA.. Rank 15 Elo 2091 (-14),47,https://badmintonranks.com/tournament?id=10911,1
2024-01-13,Semi final,WS,AN Se Young (1) Rank 1 Elo 2663 (+5),21-17 / 21-11,ZHANG Yi Man Rank 17 Elo 2239 (-4),36,https://badmintonranks.com/tournament?id=10911,1
2024-01-13,Semi final,WD,ZHANG .. / ZHENG .. (5) Rank 7 Elo 2151 (+42),21-17 / 21-17,BAEK Ha.. / LEE So H.. (2) Rank 2 Elo 2361 (-41),45,https://badmintonranks.com/tournament?id=10911,1
2024-01-13,Semi final,XD,Yuta WAT.. / Arisa IGA.. (2) Rank 2 Elo 2206 (+30),21-15 / 12-21 / 21-15,JIANG Zh.. / WEI Ya X.. (5) Rank 5 Elo 2253 (-31),50,https://badmintonranks.com/tournament?id=10911,1
2024-01-13,Semi final,WS,TAI Tzu Ying (4) Rank 4 Elo 2529 (+32),17-21 / 21-15 / 21-18,CHEN Yu Fei (2) Rank 2 Elo 2599 (-32),72,https://badmintonranks.com/tournament?id=10911,1
2024-01-13,Semi final,XD,KIM Won .. / JEONG .. (7) Rank 7 Elo 2159 (+17),21-16 / 21-16,HEE Yon.. / TAN Wei .. Rank 22 Elo 2016 (-18),41,https://badmintonranks.com/tournament?id=10911,1
2024-01-12,Quarter final,MD,KANG Mi.. / SEO Seu.. (6) Rank 3 Elo 2227 (+21),16-21 / 21-18 / 21-13,Aaron CH.. / SOH Wo.. (3) Rank 4 Elo 2156 (-21),64,https://badmintonranks.com/tournament?id=10911,1
2024-01-12,Quarter final,MS,SHI Yu Qi (7) Rank 6 Elo 2367 (+16),8-21 / 21-11 / 21-10,LU Guang Zu Rank 19 Elo 2230 (-16),61,https://badmintonranks.com/tournament?id=10911,1
2024-01-12,Quarter final,MS,Viktor AXELSEN (1) Rank 1 Elo 2588 (+2),16-21 / 21-18 / 21-9,NG Ka Long Angus Rank 20 Elo 2084 (-3),61,https://badmintonranks.com/tournament?id=10911,1
2024-01-12,Quarter final,WD,LIU Shen.. / TAN Ning (8) Rank 8 Elo 2227 (+41),21-12 / 17-21 / 21-10,CHEN Qi.. / JIA Yi Fan (1) Rank 1 Elo 2445 (-41),68,https://badmintonranks.com/tournament?id=10911,1
2024-01-12,Quarter final,MD,Takuro H.. / Yugo KO.. (7) Rank 7 Elo 2117 (+19),21-15 / 21-9,ONG Yew.. / TEO Ee Yi Rank 12 Elo 2012 (-19),34,https://badmintonranks.com/tournament?id=10911,1
2024-01-12,Quarter final,MD,Satwiksai.. / Chirag S.. (2) Rank 2 Elo 2231 (+20),21-11 / 21-8,HE Ji Ting / REN Xian.. Rank 32 Elo 2154 (-21),35,https://badmintonranks.com/tournament?id=10911,2
2024-01-12,Quarter final,WD,Rin IWAN.. / Kie NAKA.. Rank 15 Elo 2076 (+15),21-15 / 21-13,Tanisha .. / Ashwini P.. Rank 24 Elo 1905 (-16),39,https://badmintonranks.com/tournament?id=10911,2
2024-01-12,Quarter final,MD,LIANG W.. / WANG C.. (1) Rank 1 Elo 2231 (+16),16-21 / 21-17 / 21-18,Fajar ALF.. / Muhamm.. (5) Rank 6 Elo 2080 (-16),54,https://badmintonranks.com/tournament?id=10911,2
2024-01-12,Quarter final,MS,Anders ANTONSEN Rank 9 Elo 2332 (+24),16-21 / 21-12 / 21-7,Kodai NARAOKA (2) Rank 2 Elo 2301 (-24),77,https://badmintonranks.com/tournament?id=10911,2
2024-01-12,Quarter final,WS,ZHANG Yi Man Rank 17 Elo 2193 (+46),12-21 / 21-17 / 21-17,Akane YAMAGUCHI (3) Rank 3 Elo 2533 (-46),55,https://badmintonranks.com/tournament?id=10911,2
2024-01-12,Quarter final,WD,BAEK Ha.. / LEE So H.. (2) Rank 2 Elo 2356 (+5),21-13 / 21-14,LI Wen M.. / LIU Xuan .. Rank 16 Elo 1980 (-6),40,https://badmintonranks.com/tournament?id=10911,2
2024-01-12,Quarter final,WD,ZHANG .. / ZHENG .. (5) Rank 7 Elo 2127 (+24),21-17 / 21-15,Rena MI.. / Ayako SA.. Rank 14 Elo 2097 (-24),42,https://badmintonranks.com/tournament?id=10911,2
2024-01-12,Quarter final,MS,LIN Chun-Yi Rank 21 Elo 2120 (+44),21-12 / 21-18,LI Shi Feng (3) Rank 3 Elo 2387 (-44),49,https://badmintonranks.com/tournament?id=10911,2
2024-01-12,Quarter final,WS,AN Se Young (1) Rank 1 Elo 2661 (+2),16-21 / 21-12 / 21-19,YEO Jia Min Rank 22 Elo 2112 (-2),62,https://badmintonranks.com/tournament?id=10911,2
2024-01-12,Quarter final,XD,Yuta WAT.. / Arisa IGA.. (2) Rank 2 Elo 2192 (+14),21-14 / 21-8,Hiroki MI.. / Natsu SAI.. Rank 13 Elo 2012 (-14),32,https://badmintonranks.com/tournament?id=10911,2
2024-01-12,Quarter final,XD,JIANG Zh.. / WEI Ya X.. (5) Rank 5 Elo 2218 (+35),21-19 / 21-14,SEO Seu.. / CHAE Yu.. (3) Rank 4 Elo 2331 (-35),37,https://badmintonranks.com/tournament?id=10911,2
2024-01-12,Quarter final,WS,TAI Tzu Ying (4) Rank 4 Elo 2511 (+18),21-16 / 21-15,HE Bing Jiao (6) Rank 6 Elo 2398 (-18),37,https://badmintonranks.com/tournament?id=10911,2
2024-01-12,Quarter final,XD,KIM Won .. / JEONG .. (7) Rank 7 Elo 2110 (+49),21-11 / 18-21 / 21-17,ZHENG .. / HUANG .. (1) Rank 1 Elo 2542 (-48),58,https://badmintonranks.com/tournament?id=10911,2
2024-01-12,Quarter final,XD,HEE Yon.. / TAN Wei .. Rank 22 Elo 1973 (+43),21-16 / 21-19,Dechapol.. / Sapsiree .. (6) Rank 6 Elo 2170 (-40),48,https://badmintonranks.com/tournament?id=10911,2
2024-01-12,Quarter final,WS,CHEN Yu Fei (2) Rank 2 Elo 2591 (+8),21-13 / 21-17,Gregoria Mariska TUN.. (7) Rank 7 Elo 2302 (-8),40,https://badmintonranks.com/tournament?id=10911,2
2024-01-11,Round 2,WD,Rena MI.. / Ayako SA.. Rank 14 Elo 2057 (+40),21-11 / 13-21 / 21-18,Nami MA.. / Chiharu .. (4) Rank 4 Elo 2280 (-40),63,https://badmintonranks.com/tournament?id=10911,2
2024-01-11,Round 2,MD,Fajar ALF.. / Muhamm.. (5) Rank 6 Elo 2065 (+15),21-13 / 21-12,LEE Fan.. / LEE Fang-.. Rank 25 Elo 1908 (-16),38,https://badmintonranks.com/tournament?id=10911,2
