date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
12/1/2025,Final,MD,KIM Won .. / SEO Seun.. Rank Elo 1851 (+50),19-21 / 21-12 / 21-12,CHEN Bo.. / LIU Yi Rank 18 Elo 2061 (-44),64,https://badmintonranks.com/tournament?id=14377,1,KIM Won .. / SEO Seun..,,1851,CHEN Bo.. / LIU Yi,18,2061
12/1/2025,Final,MS,SHI Yu Qi (1) Rank 1 Elo 2507 (+22),21-8 / 21-15,Anders ANTONSEN (2) Rank 2 Elo 2442 (-23),39,https://badmintonranks.com/tournament?id=14377,1,SHI Yu Qi (1),1,2507,Anders ANTONSEN (2),2,2442
12/1/2025,Final,XD,Dechapol.. / Supissara .. Rank 57 Elo 2117 (+49),21-13 / 19-21 / 21-18,FENG Ya.. / HUANG .. (1) Rank 1 Elo 2458 (-48),80,https://badmintonranks.com/tournament?id=14377,1,Dechapol.. / Supissara ..,57,2117,FENG Ya.. / HUANG .. (1),1,2458
12/1/2025,Final,WS,AN Se Young (1) Rank 1 Elo 2614 (+18),21-17 / 21-7,WANG Zhi Yi (2) Rank 2 Elo 2492 (-18),45,https://badmintonranks.com/tournament?id=14377,1,AN Se Young (1),1,2614,WANG Zhi Yi (2),2,2492
12/1/2025,Final,WD,Yuki FUK.. / Mayu MAT.. Rank 93 Elo 2081 (+29),17-21 / 21-15 / 21-15,JIA Yi Fan / ZHANG S.. Rank 129 Elo 2089 (-29),95,https://badmintonranks.com/tournament?id=14377,1,Yuki FUK.. / Mayu MAT..,93,2081,JIA Yi Fan / ZHANG S..,129,2089
11/1/2025,Semi final,MS,Anders ANTONSEN (2) Rank 2 Elo 2424 (+18),21-14 / 21-14,Kodai NARAOKA (8) Rank 8 Elo 2300 (-18),57,https://badmintonranks.com/tournament?id=14377,1,Anders ANTONSEN (2),2,2424,Kodai NARAOKA (8),8,2300
11/1/2025,Semi final,MD,CHEN Bo.. / LIU Yi Rank 18 Elo 2031 (+30),24-26 / 21-16 / 21-15,MAN Wei.. / TEE Kai .. Rank 14 Elo 2051 (-30),77,https://badmintonranks.com/tournament?id=14377,1,CHEN Bo.. / LIU Yi,18,2031,MAN Wei.. / TEE Kai ..,14,2051
11/1/2025,Semi final,XD,FENG Ya.. / HUANG .. (1) Rank 1 Elo 2447 (+11),21-19 / 21-14,CHEN Ta.. / TOH Ee .. (3) Rank 5 Elo 2223 (-12),50,https://badmintonranks.com/tournament?id=14377,1,FENG Ya.. / HUANG .. (1),1,2447,CHEN Ta.. / TOH Ee .. (3),5,2223
11/1/2025,Semi final,MS,SHI Yu Qi (1) Rank 1 Elo 2492 (+15),16-21 / 21-5 / 21-12,LI Shi Feng (7) Rank 7 Elo 2329 (-15),65,https://badmintonranks.com/tournament?id=14377,1,SHI Yu Qi (1),1,2492,LI Shi Feng (7),7,2329
11/1/2025,Semi final,MD,KIM Won .. / SEO Seun.. Rank Elo 1787 (+64),21-10 / 21-15,Satwiksai.. / Chirag S.. (7) Rank 9 Elo 2213 (-49),40,https://badmintonranks.com/tournament?id=14377,1,KIM Won .. / SEO Seun..,,1787,Satwiksai.. / Chirag S.. (7),9,2213
11/1/2025,Semi final,XD,Dechapol.. / Supissara .. Rank 57 Elo 2089 (+28),17-21 / 21-12 / 21-16,GOH Soo.. / LAI Shev.. (4) Rank 6 Elo 2094 (-28),63,https://badmintonranks.com/tournament?id=14377,1,Dechapol.. / Supissara ..,57,2089,GOH Soo.. / LAI Shev.. (4),6,2094
11/1/2025,Semi final,WD,JIA Yi Fan / ZHANG S.. Rank 129 Elo 2040 (+49),19-21 / 21-16 / 21-17,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2385 (-47),91,https://badmintonranks.com/tournament?id=14377,1,JIA Yi Fan / ZHANG S..,129,2040,LIU Shen.. / TAN Ning (1),1,2385
11/1/2025,Semi final,WS,WANG Zhi Yi (2) Rank 2 Elo 2490 (+2),21-16 / 21-12,Pornpicha CHOEIKEEW.. Rank 44 Elo 1940 (-2),39,https://badmintonranks.com/tournament?id=14377,1,WANG Zhi Yi (2),2,2490,Pornpicha CHOEIKEEW..,44,1940
11/1/2025,Semi final,WD,Yuki FUK.. / Mayu MAT.. Rank 93 Elo 2046 (+35),21-13 / 23-21,LI Yi jing / LUO Xu .. (4) Rank 7 Elo 2140 (-34),61,https://badmintonranks.com/tournament?id=14377,1,Yuki FUK.. / Mayu MAT..,93,2046,LI Yi jing / LUO Xu .. (4),7,2140
11/1/2025,Semi final,WS,AN Se Young (1) Rank 1 Elo 2608 (+6),21-14 / 21-18,Ratchanok INTANON Rank 16 Elo 2227 (-6),50,https://badmintonranks.com/tournament?id=14377,1,AN Se Young (1),1,2608,Ratchanok INTANON,16,2227
10/1/2025,Quarter final,MS,Anders ANTONSEN (2) Rank 2 Elo 2401 (+23),21-15 / 21-13,Kunlavut VITIDSARN (5) Rank 5 Elo 2357 (-23),49,https://badmintonranks.com/tournament?id=14377,1,Anders ANTONSEN (2),2,2401,Kunlavut VITIDSARN (5),5,2357
10/1/2025,Quarter final,MD,Satwiksai.. / Chirag S.. (7) Rank 9 Elo 2203 (+10),26-24 / 21-15,ONG Yew.. / TEO Ee Yi Rank 24 Elo 1957 (-11),50,https://badmintonranks.com/tournament?id=14377,1,Satwiksai.. / Chirag S.. (7),9,2203,ONG Yew.. / TEO Ee Yi,24,1957
