date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
8/3/2026,Final,MD,KIM Won Ho / SEO Seung Jae (1) Rank 1 Elo 2491 (+7),18-21 / 21-12 / 21-19,Aaron CHIA / SOH Wooi Yik (2) Rank 2 Elo 2142 (-6),63,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,KIM Won Ho / SEO Seung Jae (1),1.0,2491,Aaron CHIA / SOH Wooi Yik (2),2.0,2142
8/3/2026,Final,WS,WANG Zhi Yi (2) Rank 2 Elo 2584 (+46),21-15 / 21-19,AN Se Young (1) Rank 1 Elo 2859 (-46),59,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,WANG Zhi Yi (2),2.0,2584,AN Se Young (1),1.0,2859
8/3/2026,Final,WD,LIU Sheng Shu / TAN Ning (1) Rank 1 Elo 2472 (+19),21-18 / 21-12,BAEK Ha Na / LEE So Hee (4) Rank 4 Elo 2359 (-20),59,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,LIU Sheng Shu / TAN Ning (1),1.0,2472,BAEK Ha Na / LEE So Hee (4),4.0,2359
8/3/2026,Final,MS,LIN Chun-Yi Rank 11 Elo 2327 (+26),21-15 / 22-20,Lakshya SEN Rank 12 Elo 2300 (-26),57,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,LIN Chun-Yi,11.0,2327,Lakshya SEN,12.0,2300
8/3/2026,Final,XD,YE Hong / Nicole Gonzales CHAN Rank 15 Elo 2009 (+39),21-19 / 21-18,Thom GICQUEL / Delphine DELRUE (5) Rank 5 Elo 2127 (-38),46,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,YE Hong / Nicole Gonzales CHAN,15.0,2009,Thom GICQUEL / Delphine DELRUE (5),5.0,2127
7/3/2026,Semi final,MD,KIM Won Ho / SEO Seung Jae (1) Rank 1 Elo 2486 (+5),21-19 / 21-13,Raymond INDRA / Nikolaus JOAQUIN Rank 17 Elo 2108 (-5),48,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,KIM Won Ho / SEO Seung Jae (1),1.0,2486,Raymond INDRA / Nikolaus JOAQUIN,17.0,2108
7/3/2026,Semi final,WS,WANG Zhi Yi (2) Rank 2 Elo 2560 (+24),21-15 / 21-19,Akane YAMAGUCHI (4) Rank 4 Elo 2510 (-24),43,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,WANG Zhi Yi (2),2.0,2560,Akane YAMAGUCHI (4),4.0,2510
7/3/2026,Semi final,MD,Aaron CHIA / SOH Wooi Yik (2) Rank 2 Elo 2118 (+24),21-11 / 21-19,CHEN Bo Yang / LIU Yi Rank 11 Elo 2071 (-24),42,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,Aaron CHIA / SOH Wooi Yik (2),2.0,2118,CHEN Bo Yang / LIU Yi,11.0,2071
7/3/2026,Semi final,WS,AN Se Young (1) Rank 1 Elo 2850 (+9),20-22 / 21-9 / 21-12,CHEN Yu Fei (3) Rank 3 Elo 2584 (-10),73,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,AN Se Young (1),1.0,2850,CHEN Yu Fei (3),3.0,2584
7/3/2026,Semi final,WD,LIU Sheng Shu / TAN Ning (1) Rank 1 Elo 2455 (+17),18-21 / 21-17 / 22-20,JIA Yi Fan / ZHANG .. (3) Rank 3 Elo 2319 (-17),90,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,LIU Sheng Shu / TAN Ning (1),1.0,2455,JIA Yi Fan / ZHANG .. (3),3.0,2319
7/3/2026,Semi final,WD,BAEK Ha Na / LEE So Hee (4) Rank 4 Elo 2338 (+21),21-17 / 21-18,Pearly TAN / THINAAH Muralitharan (2) Rank 2 Elo 2247 (-20),69,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,BAEK Ha Na / LEE So Hee (4),4.0,2338,Pearly TAN / THINAAH Muralitharan (2),2.0,2247
7/3/2026,Semi final,MS,Lakshya SEN Rank 12 Elo 2279 (+21),21-16 / 18-21 / 21-15,Victor LAI Rank 16 Elo 2190 (-21),97,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,Lakshya SEN,12.0,2279,Victor LAI,16.0,2190
7/3/2026,Semi final,XD,YE Hong / Nicole Gonzales CHAN Rank 15 Elo 1967 (+42),16-21 / 21-15 / 21-13,TANG Chun Man / TSE Ying Suet (7) Rank 7 Elo 2127 (-40),65,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,YE Hong / Nicole Gonzales CHAN,15.0,1967,TANG Chun Man / TSE Ying Suet (7),7.0,2127
7/3/2026,Semi final,MS,LIN Chun-Yi Rank 11 Elo 2286 (+41),21-14 / 18-21 / 21-16,Kunlavut VITIDSARN (2) Rank 2 Elo 2473 (-41),78,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,LIN Chun-Yi,11.0,2286,Kunlavut VITIDSARN (2),2.0,2473
7/3/2026,Semi final,XD,Thom GICQUEL / Delphine DELRUE (5) Rank 5 Elo 2098 (+29),11-21 / 21-18 / 21-12,GUO Xin Wa / CHEN Fang Hui (6) Rank 6 Elo 2106 (-29),69,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,Thom GICQUEL / Delphine DELRUE (5),5.0,2098,GUO Xin Wa / CHEN Fang Hui (6),6.0,2106
6/3/2026,Quarter final,MD,KIM Won Ho / SEO Seung Jae (1) Rank 1 Elo 2483 (+3),16-21 / 21-7 / 21-14,Christo POPOV / Toma Junior POPOV Rank 25 Elo 1952 (-3),67,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,KIM Won Ho / SEO Seung Jae (1),1.0,2483,Christo POPOV / Toma Junior POPOV,25.0,1952
6/3/2026,Quarter final,WD,LIU Sheng Shu / TAN Ning (1) Rank 1 Elo 2453 (+2),21-11 / 21-16,HSIEH Pei Lan / HUNG En-Tzu (8) Rank 9 Elo 1929 (-3),51,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,LIU Sheng Shu / TAN Ning (1),1.0,2453,HSIEH Pei Lan / HUNG En-Tzu (8),9.0,1929
6/3/2026,Quarter final,WD,JIA Yi Fan / ZHANG .. (3) Rank 3 Elo 2316 (+3),21-17 / 22-20,Sayaka HIROTA / Ayako SAKURAMOTO Rank Elo 1836 (-4),59,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,JIA Yi Fan / ZHANG .. (3),3.0,2316,Sayaka HIROTA / Ayako SAKURAMOTO,,1836
6/3/2026,Quarter final,WS,WANG Zhi Yi (2) Rank 2 Elo 2556 (+4),21-13 / 8-21 / 21-16,Tomoka MIYAZAKI Rank 9 Elo 2157 (-5),68,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,WANG Zhi Yi (2),2.0,2556,Tomoka MIYAZAKI,9.0,2157
6/3/2026,Quarter final,WS,Akane YAMAGUCHI (4) Rank 4 Elo 2507 (+3),13-21 / 21-17 / 21-10,Line CHRISTOPHERSEN Rank 23 Elo 2028 (-3),56,https://badmintonranks.com/tournament?id=14702,1,All England Open 2026,Akane YAMAGUCHI (4),4.0,2507,Line CHRISTOPHERSEN,23.0,2028
6/3/2026,Quarter final,MS,Victor LAI Rank 16 Elo 2159 (+31),18-21 / 21-17 / 21-15,Koki WATANABE Rank 24 Elo 2209 (-31),79,https://badmintonranks.com/tournament?id=14702,2,All England Open 2026,Victor LAI,16.0,2159,Koki WATANABE,24.0,2209
6/3/2026,Quarter final,XD,TANG Chun Man / TSE Ying Suet (7) Rank 7 Elo 2113 (+14),21-18 / 19-21 / 21-15,Mads VESTERGAARD / Christine BUSCH Rank 20 Elo 1918 (-15),70,https://badmintonranks.com/tournament?id=14702,2,All England Open 2026,TANG Chun Man / TSE Ying Suet (7),7.0,2113,Mads VESTERGAARD / Christine BUSCH,20.0,1918
6/3/2026,Quarter final,MD,Raymond INDRA / Nikolaus JOAQUIN Rank 17 Elo 2072 (+36),21-18 / 21-12,LIANG Wei Keng / WANG Chang (3) Rank 3 Elo 2188 (-36),36,https://badmintonranks.com/tournament?id=14702,2,All England Open 2026,Raymond INDRA / Nikolaus JOAQUIN,17.0,2072,LIANG Wei Keng / WANG Chang (3),3.0,2188
