date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
31/8/2025,Final,MD,KIM Won .. / SEO Seu.. (1) Rank 1 Elo 2314 (+11),21-17 / 21-12,CHEN Bo.. / LIU Yi (11) Rank 11 Elo 2071 (-12),40,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,KIM Won Ho / SEO Seung Jae (1),1.0,2314,CHEN Bo Yang / LIU Yi (11),11.0,2071
31/8/2025,Final,MS,SHI Yu Qi (1) Rank 1 Elo 2567 (+19),19-21 / 21-10 / 21-18,Kunlavut VITIDSARN (3) Rank 3 Elo 2456 (-19),77,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,SHI Yu Qi (1),1.0,2567,Kunlavut VITIDSARN (3),3.0,2456
31/8/2025,Final,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2475 (+14),21-14 / 20-22 / 21-17,Pearly TA.. / THINAAH.. (2) Rank 2 Elo 2280 (-14),83,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,LIU Sheng Shu / TAN Ning (1),1.0,2475,Pearly TAN / THINAAH Muralitharan (2),2.0,2280
31/8/2025,Final,WS,Akane YAMAGUCHI (5) Rank 5 Elo 2459 (+45),21-9 / 21-13,CHEN Yu Fei (4) Rank 4 Elo 2678 (-44),37,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,Akane YAMAGUCHI (5),5.0,2459,CHEN Yu Fei (4),4.0,2678
31/8/2025,Final,XD,CHEN Ta.. / TOH Ee .. (4) Rank 4 Elo 2160 (+43),21-15 / 21-14,JIANG Zh.. / WEI Ya X.. (2) Rank 2 Elo 2351 (-43),40,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,CHEN Tang Jie / TOH Ee Wei (4),4.0,2160,JIANG Zhen Bang / WEI Ya Xin (2),2.0,2351
30/8/2025,Semi final,MD,CHEN Bo.. / LIU Yi (11) Rank 11 Elo 2028 (+43),21-19 / 18-21 / 21-12,Satwiksai.. / Chirag S.. (9) Rank 9 Elo 2200 (-41),67,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,CHEN Bo Yang / LIU Yi (11),11.0,2028,Satwiksairaj RANKIREDDY / Chirag SHETTY (9),9.0,2200
30/8/2025,Semi final,MS,Kunlavut VITIDSARN (3) Rank 3 Elo 2432 (+24),21-17 / 21-15,Anders ANTONSEN (2) Rank 2 Elo 2383 (-24),47,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,Kunlavut VITIDSARN (3),3.0,2432,Anders ANTONSEN (2),2.0,2383
30/8/2025,Semi final,MD,KIM Won .. / SEO Seu.. (1) Rank 1 Elo 2302 (+12),21-12 / 21-3,Kim AST.. / Anders S.. (5) Rank 5 Elo 2079 (-12),27,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,KIM Won Ho / SEO Seung Jae (1),1.0,2302,Kim ASTRUP / Anders Skaarup RASMUSSEN (5),5.0,2079
30/8/2025,Semi final,MS,SHI Yu Qi (1) Rank 1 Elo 2563 (+4),13-21 / 22-20 / 21-16,Victor LAI Rank 51 Elo 2082 (-3),80,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,SHI Yu Qi (1),1.0,2563,Victor LAI,51.0,2082
30/8/2025,Semi final,WD,LIU Shen.. / TAN Ning (1) Rank 1 Elo 2468 (+7),21-15 / 21-4,Rin IWAN.. / Kie NAK.. (9) Rank 9 Elo 2124 (-7),41,https://badmintonranks.com/tournament?id=14522,1,BWF World Championships 2025,LIU Sheng Shu / TAN Ning (1),1.0,2468,Rin IWANAGA / Kie NAKANISHI (9),9.0,2124
