date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
21/12/2025,Final,MD,KIM Won Ho / SEO Seung Jae Rank 1 Elo 2447 (+8),21-18 / 21-14,LIANG Wei Keng / WANG Chang Rank 5 Elo 2146 (-8),40,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025,KIM Won Ho / SEO Seung Jae,1,2447,LIANG Wei Keng / WANG Chang,5,2146
21/12/2025,Final,MS,Christo POPOV Rank 8 Elo 2405 (+42),21-19 / 21-9,SHI Yu Qi Rank 1 Elo 2608 (-42),45,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025,Christo POPOV,8,2405,SHI Yu Qi,1,2608
21/12/2025,Final,WS,AN Se Young Rank 1 Elo 2805 (+12),21-13 / 18-21 / 21-10,WANG Zhi Yi Rank 2 Elo 2576 (-11),96,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025,AN Se Young,1,2805,WANG Zhi Yi,2,2576
21/12/2025,Final,WD,BAEK Ha Na / LEE So Hee Rank 7 Elo 2290 (+26),21-17 / 21-11,Yuki FUKUSHIMA / Mayu MATSUMOTO Rank 5 Elo 2268 (-25),69,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025,BAEK Ha Na / LEE So Hee,7,2290,Yuki FUKUSHIMA / Mayu MATSUMOTO,5,2268
21/12/2025,Final,XD,FENG Yan Zhe / HUANG Dong Ping Rank 1 Elo 2488 (+17),21-12 / 21-17,JIANG Zhen Bang / WEI Ya Xin Rank 2 Elo 2344 (-17),45,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025,FENG Yan Zhe / HUANG Dong Ping,1,2488,JIANG Zhen Bang / WEI Ya Xin,2,2344
20/12/2025,Semi final,MD,LIANG Wei Keng / WANG Chang Rank 5 Elo 2112 (+34),10-21 / 21-17 / 21-13,Satwiksairaj RANKIREDDY / Chirag SHETTY Rank 3 Elo 2203 (-34),63,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025,LIANG Wei Keng / WANG Chang,5,2112,Satwiksairaj RANKIREDDY / Chirag SHETTY,3,2203
20/12/2025,Semi final,MD,KIM Won Ho / SEO Seung Jae Rank 1 Elo 2438 (+9),21-9 / 21-11,Sabar Karyaman GUTAMA / Moh Reza Pahlevi ISFAHANI Rank 10 Elo 2173 (-9),28,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025,KIM Won Ho / SEO Seung Jae,1,2438,Sabar Karyaman GUTAMA / Moh Reza Pahlevi ISFAHANI,10,2173
20/12/2025,Semi final,MS,SHI Yu Qi Rank 1 Elo 2594 (+14),21-16 / 21-13,Kunlavut VITIDSARN Rank 2 Elo 2423 (-15),52,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025,SHI Yu Qi,1,2594,Kunlavut VITIDSARN,2,2423
20/12/2025,Semi final,WD,BAEK Ha Na / LEE So Hee Rank 7 Elo 2252 (+38),15-21 / 21-16 / 21-19,LIU Sheng Shu / TAN Ning Rank 1 Elo 2401 (-38),80,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025,BAEK Ha Na / LEE So Hee,7,2252,LIU Sheng Shu / TAN Ning,1,2401
20/12/2025,Semi final,XD,JIANG Zhen Bang / WEI Ya Xin Rank 2 Elo 2325 (+19),9-21 / 21-11 / 21-17,CHEN Tang Jie / TOH Ee Wei Rank 4 Elo 2227 (-20),58,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025,JIANG Zhen Bang / WEI Ya Xin,2,2325,CHEN Tang Jie / TOH Ee Wei,4,2227
20/12/2025,Semi final,MS,Christo POPOV Rank 8 Elo 2387 (+18),21-19 / 21-8,Kodai NARAOKA Rank 9 Elo 2266 (-18),50,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025,Christo POPOV,8,2387,Kodai NARAOKA,9,2266
20/12/2025,Semi final,WD,Yuki FUKUSHIMA / Mayu MATSUMOTO Rank 5 Elo 2237 (+31),21-19 / 21-13,Pearly TAN / THINAAH Muralitharan Rank 2 Elo 2291 (-31),61,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025,Yuki FUKUSHIMA / Mayu MATSUMOTO,5,2237,Pearly TAN / THINAAH Muralitharan,2,2291
20/12/2025,Semi final,XD,FENG Yan Zhe / HUANG Dong Ping Rank 1 Elo 2483 (+5),22-20 / 17-21 / 21-9,Hiroki MIDORIKAWA / Natsu SAITO Rank 8 Elo 2094 (-5),67,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025,FENG Yan Zhe / HUANG Dong Ping,1,2483,Hiroki MIDORIKAWA / Natsu SAITO,8,2094
20/12/2025,Semi final,WS,WANG Zhi Yi Rank 2 Elo 2570 (+6),15-21 / 21-17 / 21-11,Ratchanok INTANON Rank 8 Elo 2228 (-6),76,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025,WANG Zhi Yi,2,2570,Ratchanok INTANON,8,2228
20/12/2025,Semi final,WS,AN Se Young Rank 1 Elo 2797 (+8),21-15 / 21-12,Akane YAMAGUCHI Rank 3 Elo 2509 (-8),38,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025,AN Se Young,1,2797,Akane YAMAGUCHI,3,2509
19/12/2025,Group B,MD,Satwiksairaj RANKIREDDY / Chirag SHETTY (3) Rank 3 Elo 2184 (+19),17-21 / 21-18 / 21-15,Aaron CHIA / SOH Wooi Yik (2) Rank 2 Elo 2089 (-19),70,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025,Satwiksairaj RANKIREDDY / Chirag SHETTY (3),3,2184,Aaron CHIA / SOH Wooi Yik (2),2,2089
19/12/2025,Group A,MS,Kunlavut VITIDSARN (1) Rank 2 Elo 2397 (+26),21-15 / 18-21 / 21-13,Anders ANTONSEN (4) Rank 3 Elo 2407 (-26),87,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025,Kunlavut VITIDSARN (1),2,2397,Anders ANTONSEN (4),3,2407
19/12/2025,Group A,MD,KIM Won Ho / SEO Seung Jae (1) Rank 1 Elo 2432 (+6),25-23 / 14-21 / 21-19,MAN Wei Chong / TEE Kai Wun (4) Rank 4 Elo 2070 (-5),63,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025,KIM Won Ho / SEO Seung Jae (1),1,2432,MAN Wei Chong / TEE Kai Wun (4),4,2070
19/12/2025,Group A,MD,Sabar Karyaman GUTAMA / Moh Reza Pahlevi ISFAHANI Rank 10 Elo 2158 (+15),21-19 / 20-22 / 21-15,CHIU Hsiang Chieh / WANG Chang Rank 16 Elo 2015 (-17),65,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025,Sabar Karyaman GUTAMA / Moh Reza Pahlevi ISFAHANI,10,2158,CHIU Hsiang Chieh / WANG Chang,16,2015
19/12/2025,Group B,MD,LIANG Wei Keng / WANG Chang Rank 5 Elo 2081 (+31),21-17 / 21-14,Fajar ALFIAN / Muhammad Shohibul FIKRI Rank 8 Elo 2147 (-31),40,https://badmintonranks.com/tournament?id=14651,1,BWF World Tour Finals 2025,LIANG Wei Keng / WANG Chang,5,2081,Fajar ALFIAN / Muhammad Shohibul FIKRI,8,2147
19/12/2025,Group B,MS,SHI Yu Qi Rank 1 Elo 2586 (+8),21-9 / 21-11,Kodai NARAOKA Rank 9 Elo 2273 (-7),28,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025,SHI Yu Qi,1,2586,Kodai NARAOKA,9,2273
19/12/2025,Group A,MS,Christo POPOV Rank 8 Elo 2362 (+25),18-21 / 21-16 / 21-13,Jonatan CHRISTIE Rank 5 Elo 2359 (-25),72,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025,Christo POPOV,8,2362,Jonatan CHRISTIE,5,2359
19/12/2025,Group B,WD,LIU Sheng Shu / TAN Ning (3) Rank 1 Elo 2387 (+14),21-17 / 21-11,KIM Hye Rin / KONG Hee Yong (2) Rank 3 Elo 2216 (-14),48,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025,LIU Sheng Shu / TAN Ning (3),1,2387,KIM Hye Rin / KONG Hee Yong (2),3,2216
19/12/2025,Group A,XD,Hiroki MIDORIKAWA / Natsu SAITO Rank 8 Elo 2065 (+29),21-14 / 21-23 / 21-14,Thom GICQUEL / Delphine DELRUE Rank 5 Elo 2100 (-29),67,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025,Hiroki MIDORIKAWA / Natsu SAITO,8,2065,Thom GICQUEL / Delphine DELRUE,5,2100
19/12/2025,Group A,XD,JIANG Zhen Bang / WEI Ya Xin (4) Rank 2 Elo 2309 (+16),21-10 / 21-12,Dechapol PUAVARANUKROH / Supissara PACHARAMONGKOL (1) Rank 3 Elo 2173 (-16),30,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025,JIANG Zhen Bang / WEI Ya Xin (4),2,2309,Dechapol PUAVARANUKROH / Supissara PACHARAMONGKOL (1),3,2173
19/12/2025,Group B,WD,BAEK Ha Na / LEE So Hee Rank 7 Elo 2247 (+5),21-17 / 21-19,HSIEH Pei Lan / HUNG En-Tzu Rank 9 Elo 1855 (-6),49,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025,BAEK Ha Na / LEE So Hee,7,2247,HSIEH Pei Lan / HUNG En-Tzu,9,1855
19/12/2025,Group B,MS,CHOU Tien Chen (3) Rank 6 Elo 2200 (+13),14-21 / 11-14 Ret.,LI Shi Feng (2) Rank 4 Elo 2292 (-13),38,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025,CHOU Tien Chen (3),6,2200,LI Shi Feng (2),4,2292
19/12/2025,Group A,WD,JIA Yi Fan / ZHANG .. (4) Rank 4 Elo 2332 (+10),21-11 / 21-8,Rin IWANAGA / Kie NAKANISHI Rank 6 Elo 2105 (-11),34,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025,JIA Yi Fan / ZHANG .. (4),4,2332,Rin IWANAGA / Kie NAKANISHI,6,2105
19/12/2025,Group B,XD,Jafar HIDAYATULLAH / Felisha Alberta SI Rank 10 Elo 2035 (+23),21-17 / 21-17,GOH Soon Huat / LAI Shevon Jemie Rank 9 Elo 1988 (-23),34,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025,Jafar HIDAYATULLAH / Felisha Alberta SI,10,2035,GOH Soon Huat / LAI Shevon Jemie,9,1988
19/12/2025,Group A,WD,Yuki FUKUSHIMA / Mayu MATSUMOTO Rank 5 Elo 2203 (+34),21-15 / 16-21 / 21-19,Pearly TAN / THINAAH Muralitharan (1) Rank 2 Elo 2325 (-34),81,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025,Yuki FUKUSHIMA / Mayu MATSUMOTO,5,2203,Pearly TAN / THINAAH Muralitharan (1),2,2325
19/12/2025,Group A,WS,AN Se Young (1) Rank 1 Elo 2788 (+9),14-21 / 21-5 / 21-14,Akane YAMAGUCHI (4) Rank 3 Elo 2518 (-9),47,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025,AN Se Young (1),1,2788,Akane YAMAGUCHI (4),3,2518
19/12/2025,Group B,XD,FENG Yan Zhe / HUANG Dong Ping (2) Rank 1 Elo 2472 (+11),21-18 / 26-24,CHEN Tang Jie / TOH Ee Wei (3) Rank 4 Elo 2237 (-10),53,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025,FENG Yan Zhe / HUANG Dong Ping (2),1,2472,CHEN Tang Jie / TOH Ee Wei (3),4,2237
19/12/2025,Group A,WS,Putri Kusuma WARDANI Rank 7 Elo 2228 (+19),21-17 / 21-9,Tomoka MIYAZAKI Rank 9 Elo 2151 (-20),39,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025,Putri Kusuma WARDANI,7,2228,Tomoka MIYAZAKI,9,2151
19/12/2025,Group B,WS,Ratchanok INTANON Rank 8 Elo 2188 (+40),21-17 / 21-10,HAN Yue (3) Rank 5 Elo 2423 (-40),38,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025,Ratchanok INTANON,8,2188,HAN Yue (3),5,2423
18/12/2025,Group A,MS,Anders ANTONSEN (4) Rank 3 Elo 2382 (+25),21-16 / 21-14,Jonatan CHRISTIE Rank 5 Elo 2384 (-25),49,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025,Anders ANTONSEN (4),3,2382,Jonatan CHRISTIE,5,2384
18/12/2025,Group B,MD,Satwiksairaj RANKIREDDY / Chirag SHETTY (3) Rank 3 Elo 2158 (+26),21-11 / 16-21 / 21-11,Fajar ALFIAN / Muhammad Shohibul FIKRI Rank 8 Elo 2173 (-26),60,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025,Satwiksairaj RANKIREDDY / Chirag SHETTY (3),3,2158,Fajar ALFIAN / Muhammad Shohibul FIKRI,8,2173
18/12/2025,Group A,XD,JIANG Zhen Bang / WEI Ya Xin (4) Rank 2 Elo 2298 (+11),21-17 / 21-16,Hiroki MIDORIKAWA / Natsu SAITO Rank 8 Elo 2077 (-12),38,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025,JIANG Zhen Bang / WEI Ya Xin (4),2,2298,Hiroki MIDORIKAWA / Natsu SAITO,8,2077
18/12/2025,Group B,MD,LIANG Wei Keng / WANG Chang Rank 5 Elo 2050 (+31),21-14 / 21-18,Aaron CHIA / SOH Wooi Yik (2) Rank 2 Elo 2120 (-31),44,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025,LIANG Wei Keng / WANG Chang,5,2050,Aaron CHIA / SOH Wooi Yik (2),2,2120
18/12/2025,Group A,MD,MAN Wei Chong / TEE Kai Wun (4) Rank 4 Elo 2045 (+25),21-18 / 21-19,CHIU Hsiang Chieh / WANG Chang Rank 16 Elo 2040 (-25),34,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025,MAN Wei Chong / TEE Kai Wun (4),4,2045,CHIU Hsiang Chieh / WANG Chang,16,2040
18/12/2025,Group B,MS,SHI Yu Qi Rank 1 Elo 2581 (+5),21-11 / 19-21 / 21-15,CHOU Tien Chen (3) Rank 6 Elo 2205 (-5),75,https://badmintonranks.com/tournament?id=14651,2,BWF World Tour Finals 2025,SHI Yu Qi,1,2581,CHOU Tien Chen (3),6,2205
18/12/2025,Group A,XD,Thom GICQUEL / Delphine DELRUE Rank 5 Elo 2063 (+37),14-21 / 21-14 / 21-18,Dechapol PUAVARANUKROH / Supissara PACHARAMONGKOL (1) Rank 3 Elo 2209 (-36),66,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025,Thom GICQUEL / Delphine DELRUE,5,2063,Dechapol PUAVARANUKROH / Supissara PACHARAMONGKOL (1),3,2209
18/12/2025,Group B,WD,LIU Sheng Shu / TAN Ning (3) Rank 1 Elo 2369 (+18),21-7 / 21-10,BAEK Ha Na / LEE So Hee Rank 7 Elo 2265 (-18),44,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025,LIU Sheng Shu / TAN Ning (3),1,2369,BAEK Ha Na / LEE So Hee,7,2265
18/12/2025,Group A,MS,Christo POPOV Rank 8 Elo 2330 (+32),21-11 / 18-21 / 21-10,Kunlavut VITIDSARN (1) Rank 2 Elo 2429 (-32),74,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025,Christo POPOV,8,2330,Kunlavut VITIDSARN (1),2,2429
18/12/2025,Group B,WS,WANG Zhi Yi (2) Rank 2 Elo 2565 (+5),21-17 / 21-19,Ratchanok INTANON Rank 8 Elo 2193 (-5),48,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025,WANG Zhi Yi (2),2,2565,Ratchanok INTANON,8,2193
18/12/2025,Group B,MS,Kodai NARAOKA Rank 9 Elo 2242 (+31),21-16 / 21-15,LI Shi Feng (2) Rank 4 Elo 2323 (-31),59,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025,Kodai NARAOKA,9,2242,LI Shi Feng (2),4,2323
18/12/2025,Group B,XD,FENG Yan Zhe / HUANG Dong Ping (2) Rank 1 Elo 2469 (+3),23-25 / 21-11 / 22-20,GOH Soon Huat / LAI Shevon Jemie Rank 9 Elo 1992 (-4),69,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025,FENG Yan Zhe / HUANG Dong Ping (2),1,2469,GOH Soon Huat / LAI Shevon Jemie,9,1992
18/12/2025,Group A,MD,KIM Won Ho / SEO Seung Jae (1) Rank 1 Elo 2423 (+9),22-20 / 21-17,Sabar Karyaman GUTAMA / Moh Reza Pahlevi ISFAHANI Rank 10 Elo 2167 (-9),42,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025,KIM Won Ho / SEO Seung Jae (1),1,2423,Sabar Karyaman GUTAMA / Moh Reza Pahlevi ISFAHANI,10,2167
18/12/2025,Group B,WD,KIM Hye Rin / KONG Hee Yong (2) Rank 3 Elo 2210 (+6),21-7 / 16-21 / 21-13,HSIEH Pei Lan / HUNG En-Tzu Rank 9 Elo 1862 (-7),59,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025,KIM Hye Rin / KONG Hee Yong (2),3,2210,HSIEH Pei Lan / HUNG En-Tzu,9,1862
18/12/2025,Group A,WD,JIA Yi Fan / ZHANG .. (4) Rank 4 Elo 2313 (+19),21-19 / 16-21 / 21-16,Yuki FUKUSHIMA / Mayu MATSUMOTO Rank 5 Elo 2222 (-19),91,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025,JIA Yi Fan / ZHANG .. (4),4,2313,Yuki FUKUSHIMA / Mayu MATSUMOTO,5,2222
18/12/2025,Group B,WS,HAN Yue (3) Rank 5 Elo 2423 (+0),W.O.,Pornpawee CHOCHUWONG Rank 6 Elo 2247 (-1),0,https://badmintonranks.com/tournament?id=14651,3,BWF World Tour Finals 2025,HAN Yue (3),5,2423,Pornpawee CHOCHUWONG,6,2247
