date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
27/7/2025,Final,MD,Fajar ALFIAN / Muhammad Shohibul FIKRI Rank 86 Elo 2070 (+40),21-15 / 21-14,Aaron CHIA / SOH Wooi Yik (2) Rank 2 Elo 2240 (-40),35.0,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,Fajar ALFIAN / Muhammad Shohibul FIKRI,86.0,2070,Aaron CHIA / SOH Wooi Yik (2),2.0,2240
27/7/2025,Final,WS,WANG Zhi Yi (2) Rank 2 Elo 2541 (+16),21-8 / 21-13,HAN Yue (4) Rank 3 Elo 2378 (-15),39.0,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,WANG Zhi Yi (2),2.0,2541,HAN Yue (4),3.0,2378
27/7/2025,Final,MS,SHI Yu Qi (3) Rank 2 Elo 2536 (+6),14-21 / 21-14 / 21-15,WANG Zheng Xing Rank 23 Elo 2173 (-6),64.0,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,SHI Yu Qi (3),2.0,2536,WANG Zheng Xing,23.0,2173
27/7/2025,Final,WD,LIU Sheng Shu / TAN Ning (1) Rank 1 Elo 2439 (+15),24-22 / 17-21 / 21-14,JIA Yi Fan / ZHANG Shu Xian Rank 7 Elo 2266 (-15),69.0,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,LIU Sheng Shu / TAN Ning (1),1.0,2439,JIA Yi Fan / ZHANG Shu Xian,7.0,2266
27/7/2025,Final,XD,FENG Yan Zhe / HUANG Dong Ping (1) Rank 1 Elo 2410 (+23),23-21 / 21-17,JIANG Zhen Bang / WEI Ya Xin (2) Rank 2 Elo 2347 (-22),47.0,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,FENG Yan Zhe / HUANG Dong Ping (1),1.0,2410,JIANG Zhen Bang / WEI Ya Xin (2),2.0,2347
26/7/2025,Semi final,MD,Aaron CHIA / SOH Wooi Yik (2) Rank 2 Elo 2216 (+24),21-13 / 21-17,Satwiksairaj RANKIREDDY / Chirag SHETTY Rank 12 Elo 2173 (-24),42.0,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,Aaron CHIA / SOH Wooi Yik (2),2.0,2216,Satwiksairaj RANKIREDDY / Chirag SHETTY,12.0,2173
26/7/2025,Semi final,WS,HAN Yue (4) Rank 3 Elo 2358 (+20),21-19 / 11-6 Ret.,AN Se Young (1) Rank 1 Elo 2786 (-20),33.0,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,HAN Yue (4),3.0,2358,AN Se Young (1),1.0,2786
26/7/2025,Semi final,MD,Fajar ALFIAN / Muhammad Shohibul FIKRI Rank 86 Elo 2033 (+37),21-19 / 21-17,LIANG Wei Keng / WANG Chang (5) Rank 6 Elo 2147 (-35),37.0,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,Fajar ALFIAN / Muhammad Shohibul FIKRI,86.0,2033,LIANG Wei Keng / WANG Chang (5),6.0,2147
26/7/2025,Semi final,WS,WANG Zhi Yi (2) Rank 2 Elo 2522 (+19),22-20 / 21-11,Akane YAMAGUCHI (3) Rank 4 Elo 2419 (-19),47.0,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,WANG Zhi Yi (2),2.0,2522,Akane YAMAGUCHI (3),4.0,2419
26/7/2025,Semi final,MS,WANG Zheng Xing Rank 23 Elo 2129 (+44),21-18 / 21-15,Anders ANTONSEN (2) Rank 3 Elo 2381 (-43),48.0,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,WANG Zheng Xing,23.0,2129,Anders ANTONSEN (2),3.0,2381
26/7/2025,Semi final,MS,SHI Yu Qi (3) Rank 2 Elo 2526 (+10),21-13 / 22-20,CHOU Tien Chen (6) Rank 6 Elo 2268 (-10),45.0,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,SHI Yu Qi (3),2.0,2526,CHOU Tien Chen (6),6.0,2268
26/7/2025,Semi final,WD,LIU Sheng Shu / TAN Ning (1) Rank 1 Elo 2426 (+13),21-10 / 21-12,KIM Hye Rin / KONG Hee Yong (7) Rank 6 Elo 2224 (-13),40.0,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,LIU Sheng Shu / TAN Ning (1),1.0,2426,KIM Hye Rin / KONG Hee Yong (7),6.0,2224
26/7/2025,Semi final,XD,JIANG Zhen Bang / WEI Ya Xin (2) Rank 2 Elo 2338 (+9),16-21 / 21-15 / 21-16,Jafar HIDAYATULLAH / Felisha Alberta SI Rank 14 Elo 2059 (-9),64.0,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,JIANG Zhen Bang / WEI Ya Xin (2),2.0,2338,Jafar HIDAYATULLAH / Felisha Alberta SI,14.0,2059
26/7/2025,Semi final,WD,JIA Yi Fan / ZHANG Shu Xian Rank 7 Elo 2238 (+28),21-14 / 21-17,Pearly TAN / THINAAH Muralitharan (3) Rank 3 Elo 2249 (-28),38.0,https://badmintonranks.com/tournament?id=14501,1,China Open 2025,JIA Yi Fan / ZHANG Shu Xian,7.0,2238,Pearly TAN / THINAAH Muralitharan (3),3.0,2249
