date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
8/6/2025,Final,MD,KIM Won Ho / SEO Seung Jae (5) Rank 6 Elo 2226 (+20),18-21 / 21-19 / 21-12,Sabar Karyaman GUTAMA / Moh Reza Pahlevi ISFAHANI (8) Rank 8 Elo 2123 (-20),63.0,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,KIM Won Ho / SEO Seung Jae (5),6.0,2226,Sabar Karyaman GUTAMA / Moh Reza Pahlevi ISFAHANI (8),8.0,2123
8/6/2025,Final,MS,Anders ANTONSEN (3) Rank 3 Elo 2370 (+18),22-20 / 21-14,CHOU Tien Chen (6) Rank 7 Elo 2253 (-19),60.0,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,Anders ANTONSEN (3),3.0,2370,CHOU Tien Chen (6),7.0,2253
8/6/2025,Final,WD,LIU Sheng Shu / TAN Ning (1) Rank 1 Elo 2368 (+14),23-25 / 21-12 / 21-19,Pearly TAN / THINAAH Muralitharan (4) Rank 4 Elo 2182 (-14),87.0,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,LIU Sheng Shu / TAN Ning (1),1.0,2368,Pearly TAN / THINAAH Muralitharan (4),4.0,2182
8/6/2025,Final,WS,AN Se Young (1) Rank 1 Elo 2715 (+13),13-21 / 21-19 / 21-15,WANG Zhi Yi (2) Rank 2 Elo 2504 (-12),81.0,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,AN Se Young (1),1.0,2715,WANG Zhi Yi (2),2.0,2504
8/6/2025,Final,XD,Thom GICQUEL / Delphine DELRUE Rank 10 Elo 2082 (+41),21-16 / 21-18,Dechapol PUAVARANUKROH / Supissara PACHARAMONGKOL (6) Rank 6 Elo 2256 (-41),48.0,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,Thom GICQUEL / Delphine DELRUE,10.0,2082,Dechapol PUAVARANUKROH / Supissara PACHARAMONGKOL (6),6.0,2256
7/6/2025,Semi final,MD,KIM Won Ho / SEO Seung Jae (5) Rank 6 Elo 2207 (+19),21-18 / 19-21 / 23-21,Fajar ALFIAN / Muhammad Shohibul FIKRI (6) Rank 5 Elo 2099 (-19),79.0,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,KIM Won Ho / SEO Seung Jae (5),6.0,2207,Fajar ALFIAN / Muhammad Shohibul FIKRI (6),5.0,2099
7/6/2025,Semi final,MD,Sabar Karyaman GUTAMA / Moh Reza Pahlevi ISFAHANI (8) Rank 8 Elo 2090 (+33),21-18 / 12-21 / 21-18,MAN Wei Chong / TEE Kai Wun (7) Rank 7 Elo 2156 (-33),60.0,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,Sabar Karyaman GUTAMA / Moh Reza Pahlevi ISFAHANI (8),8.0,2090,MAN Wei Chong / TEE Kai Wun (7),7.0,2156
7/6/2025,Semi final,MS,Anders ANTONSEN (3) Rank 3 Elo 2331 (+39),9-21 / 21-18 / 21-19,SHI Yu Qi (1) Rank 2 Elo 2492 (-38),69.0,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,Anders ANTONSEN (3),3.0,2331,SHI Yu Qi (1),2.0,2492
7/6/2025,Semi final,WD,LIU Sheng Shu / TAN Ning (1) Rank 1 Elo 2353 (+15),21-19 / 21-18,BAEK Ha Na / LEE So Hee (3) Rank 3 Elo 2181 (-15),59.0,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,LIU Sheng Shu / TAN Ning (1),1.0,2353,BAEK Ha Na / LEE So Hee (3),3.0,2181
7/6/2025,Semi final,MS,CHOU Tien Chen (6) Rank 7 Elo 2206 (+47),21-16 / 23-21,Kunlavut VITIDSARN (2) Rank 1 Elo 2515 (-46),59.0,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,CHOU Tien Chen (6),7.0,2206,Kunlavut VITIDSARN (2),1.0,2515
7/6/2025,Semi final,WD,Pearly TAN / THINAAH Muralitharan (4) Rank 4 Elo 2161 (+21),12-21 / 21-17 / 21-11,LI Yi jing / LUO Xu Min (5) Rank 6 Elo 2082 (-22),64.0,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,Pearly TAN / THINAAH Muralitharan (4),4.0,2161,LI Yi jing / LUO Xu Min (5),6.0,2082
7/6/2025,Semi final,WS,WANG Zhi Yi (2) Rank 2 Elo 2487 (+17),21-12 / 21-13,HAN Yue (4) Rank 4 Elo 2361 (-18),39.0,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,WANG Zhi Yi (2),2.0,2487,HAN Yue (4),4.0,2361
7/6/2025,Semi final,XD,Thom GICQUEL / Delphine DELRUE Rank 10 Elo 2053 (+29),17-21 / 21-14 / 21-12,CHENG Chi Ya / ZHANG Chi Rank 11 Elo 2069 (-29),64.0,https://badmintonranks.com/tournament?id=14466,1,Indonesia Open 2025,Thom GICQUEL / Delphine DELRUE,10.0,2053,CHENG Chi Ya / ZHANG Chi,11.0,2069
