date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
11/1/2026,Final,MD,KIM Won Ho / SEO Seung Jae (1) Rank 1 Elo 2472 (+8),21-15 / 12-21 / 21-18,Aaron CHIA / SOH Wooi Yik (2) Rank 2 Elo 2152 (-8),66,https://badmintonranks.com/tournament?id=14659,1,Malaysia_Open_2026,KIM Won Ho / SEO Seung Jae (1),1.0,2472,Aaron CHIA / SOH Wooi Yik (2),2.0,2152
11/1/2026,Final,MS,Kunlavut VITIDSARN (2) Rank 2 Elo 2464 (+15),23-21 / 6-1 Ret.,SHI Yu Qi (1) Rank 1 Elo 2591 (-15),36,https://badmintonranks.com/tournament?id=14659,1,Malaysia_Open_2026,Kunlavut VITIDSARN (2),2.0,2464,SHI Yu Qi (1),1.0,2591
11/1/2026,Final,XD,FENG Yan Zhe / HUANG Dong Ping (1) Rank 1 Elo 2518 (+15),21-19 / 21-19,JIANG Zhen Bang / WEI Ya Xin (2) Rank 2 Elo 2340 (-14),45,https://badmintonranks.com/tournament?id=14659,1,Malaysia_Open_2026,FENG Yan Zhe / HUANG Dong Ping (1),1.0,2518,JIANG Zhen Bang / WEI Ya Xin (2),2.0,2340
11/1/2026,Final,WD,LIU Sheng Shu / TAN Ning (1) Rank 1 Elo 2378 (+25),21-18 / 21-12,BAEK Ha Na / LEE So Hee (6) Rank 6 Elo 2347 (-25),67,https://badmintonranks.com/tournament?id=14659,1,Malaysia_Open_2026,LIU Sheng Shu / TAN Ning (1),1.0,2378,BAEK Ha Na / LEE So Hee (6),6.0,2347
11/1/2026,Final,WS,AN Se Young (1) Rank 1 Elo 2819 (+11),21-15 / 24-22,WANG Zhi Yi (2) Rank 2 Elo 2580 (-11),56,https://badmintonranks.com/tournament?id=14659,1,Malaysia_Open_2026,AN Se Young (1),1.0,2819,WANG Zhi Yi (2),2.0,2580
10/1/2026,Semi final,MD,Aaron CHIA / SOH Wooi Yik (2) Rank 2 Elo 2121 (+31),23-21 / 21-18,Fajar ALFIAN / Muhammad Shohibul FIKRI (6) Rank 6 Elo 2166 (-31),51,https://badmintonranks.com/tournament?id=14659,1,Malaysia_Open_2026,Aaron CHIA / SOH Wooi Yik (2),2.0,2121,Fajar ALFIAN / Muhammad Shohibul FIKRI (6),6.0,2166
10/1/2026,Semi final,WS,AN Se Young (1) Rank 1 Elo 2819 (+0),W.O.,CHEN Yu Fei (4) Rank 4 Elo 2574 (-1),0,https://badmintonranks.com/tournament?id=14659,1,Malaysia_Open_2026,AN Se Young (1),1.0,2819,CHEN Yu Fei (4),4.0,2574
10/1/2026,Semi final,MS,SHI Yu Qi (1) Rank 1 Elo 2576 (+15),21-13 / 21-14,Anders ANTONSEN (3) Rank 3 Elo 2407 (-15),46,https://badmintonranks.com/tournament?id=14659,1,Malaysia_Open_2026,SHI Yu Qi (1),1.0,2576,Anders ANTONSEN (3),3.0,2407
10/1/2026,Semi final,MD,KIM Won Ho / SEO Seung Jae (1) Rank 1 Elo 2466 (+6),8-21 / 21-11 / 21-18,Ben LANE / Sean VENDY Rank 16 Elo 2113 (-6),58,https://badmintonranks.com/tournament?id=14659,1,Malaysia_Open_2026,KIM Won Ho / SEO Seung Jae (1),1.0,2466,Ben LANE / Sean VENDY,16.0,2113
10/1/2026,Semi final,MS,Kunlavut VITIDSARN (2) Rank 2 Elo 2443 (+21),21-16 / 21-16,Jonatan CHRISTIE (4) Rank 4 Elo 2370 (-21),63,https://badmintonranks.com/tournament?id=14659,1,Malaysia_Open_2026,Kunlavut VITIDSARN (2),2.0,2443,Jonatan CHRISTIE (4),4.0,2370
