event_id,date,tournament,discipline,player,player_id,opponent,opponent_id,sets_for,sets_against,won
12244288,2024-04-12,"European Championships 2024, MS",MS,Viktor Axelsen,87484,Gemke R.,234811,2,0,True
12245836,2024-04-13,"European Championships 2024, MS",MS,Viktor Axelsen,87484,Popov T.,241059,1,2,False
12290277,2024-04-27,"BWF Thomas Cup, 2024, Singles",,Viktor Axelsen,87484,Hamek A.,210940,2,0,True
12287437,2024-04-28,"BWF Thomas Cup, 2024, Singles",,Viktor Axelsen,87484,Lee C.,182557,2,1,True
12294013,2024-04-30,"BWF Thomas Cup, 2024, Singles",,Viktor Axelsen,87484,Lee Z.,244095,2,0,True
12302442,2024-05-03,"BWF Thomas Cup, 2024, Singles",,Viktor Axelsen,87484,Tien Chen Chou,87480,1,2,False
12352526,2024-05-22,"Malaysia Masters 2024, MS",MS,Viktor Axelsen,87484,Watanabe K.,212159,2,0,True
12356521,2024-05-23,"Malaysia Masters 2024, MS",MS,Viktor Axelsen,87484,Teeraratsakul P.,310233,2,0,True
12360444,2024-05-24,"Malaysia Masters 2024, MS",MS,Viktor Axelsen,87484,Tien Chen Chou,87480,2,0,True
12364782,2024-05-25,"Malaysia Masters 2024, MS",MS,Viktor Axelsen,87484,Guangzu Lu,217992,2,0,True
12369495,2024-05-26,"Malaysia Masters 2024, MS",MS,Viktor Axelsen,87484,Lee Z.,244095,2,1,True
12372859,2024-05-29,"Singapore Open 2024, MS",MS,Viktor Axelsen,87484,Sen L.,244759,2,1,True
12378213,2024-05-30,"Singapore Open 2024, MS",MS,Viktor Axelsen,87484,Chun-Yi L.,258097,2,1,True
12381330,2024-05-31,"Singapore Open 2024, MS",MS,Viktor Axelsen,87484,Leong J.,244225,2,0,True
12384463,2024-06-01,"Singapore Open 2024, MS",MS,Viktor Axelsen,87484,Shifeng Li,283162,,,False
12602401,2024-07-27,"Olympic Tournament, Singles",,Viktor Axelsen,87484,Dahal P.,330996,2,0,True
12612551,2024-07-29,"Olympic Tournament, Singles",,Viktor Axelsen,87484,Zilberman M.,76595,2,0,True
12612540,2024-07-31,"Olympic Tournament, Singles",,Viktor Axelsen,87484,Nguyen N.,246527,2,0,True
12633403,2024-08-02,"Olympic Games, Final Round",,Viktor Axelsen,87484,Loh Kean Yew,172746,2,0,True
12638747,2024-08-04,"Olympic Games, Final Round",,Viktor Axelsen,87484,Sen L.,244759,2,0,True
12644232,2024-08-05,"Olympic Games, Final Round",,Viktor Axelsen,87484,Vitidsarn K.,207992,2,0,True
12816931,2024-09-11,"Hong Kong Open 2024, MS",MS,Viktor Axelsen,87484,Ka Long Ng.,104289,2,0,True
12825136,2024-09-12,"Hong Kong Open 2024, MS",MS,Viktor Axelsen,87484,Yang S.,262764,2,0,True
12831512,2024-09-13,"Hong Kong Open 2024, MS",MS,Viktor Axelsen,87484,Tien Chen Chou,87480,2,0,True
12837027,2024-09-14,"Hong Kong Open 2024, MS",MS,Viktor Axelsen,87484,Anthony G.,164374,2,0,True
12842581,2024-09-15,"Hong Kong Open 2024, MS",MS,Viktor Axelsen,87484,Lei L.,311774,2,0,True
12866490,2024-09-18,"China Open 2024, MS",MS,Viktor Axelsen,87484,Lei L.,311774,1,2,False
12972191,2024-10-15,"Denmark Open 2024, MS",MS,Viktor Axelsen,87484,Tanaka Y.,343205,2,0,True
12991085,2024-10-17,"Denmark Open 2024, MS",MS,Viktor Axelsen,87484,Lanier A.,339319,0,1,False
11614271,2023-09-07,"China Open 2023, MS",MS,Viktor Axelsen,87484,Wang T.,142606,2,1,True
11623470,2023-09-08,"China Open 2023, MS",MS,Viktor Axelsen,87484,Loh Kean Yew,172746,2,0,True
11626096,2023-09-09,"China Open 2023, MS",MS,Viktor Axelsen,87484,Jonatan Christie,164088,2,0,True
11628106,2023-09-10,"China Open 2023, MS",MS,Viktor Axelsen,87484,Guangzu Lu,217992,2,0,True
11636699,2023-09-13,"Hong Kong Open 2023, MS",MS,Viktor Axelsen,87484,Lee C.,208969,0,2,False
11744317,2023-10-18,"Denmark Open 2023, MS",MS,Viktor Axelsen,87484,Johannesen M.,316713,2,0,True
11770167,2023-10-25,"French Open 2023, MS",MS,Viktor Axelsen,87484,Ka Long Ng.,104289,0,1,False
11826477,2023-11-15,"Kumamoto Masters Japan 2023, MS",MS,Viktor Axelsen,87484,DWI Wardoyo C.,231911,2,0,True
11834354,2023-11-16,"Kumamoto Masters Japan 2023, MS",MS,Viktor Axelsen,87484,Tze Yong NG.,325704,2,1,True
11836650,2023-11-17,"Kumamoto Masters Japan 2023, MS",MS,Viktor Axelsen,87484,Jonatan Christie,164088,2,1,True
11838879,2023-11-18,"Kumamoto Masters Japan 2023, MS",MS,Viktor Axelsen,87484,Obayashi T.,289687,2,0,True
11842089,2023-11-19,"Kumamoto Masters Japan 2023, MS",MS,Viktor Axelsen,87484,Yuqi Shi,164376,2,0,True
11896358,2023-12-13,"World Tour Finals 2023, MS, Group A",,Viktor Axelsen,87484,Yuqi Shi,164376,0,2,False
11897096,2023-12-14,"World Tour Finals 2023, MS, Group A",,Viktor Axelsen,87484,Naraoka K.,212157,2,0,True
11899160,2023-12-15,"World Tour Finals 2023, MS, Group A",,Viktor Axelsen,87484,Anthony G.,164374,2,1,True
11900908,2023-12-16,"World Tour Finals 2023, MS, Finals",,Viktor Axelsen,87484,Antonsen A.,215405,2,0,True
11902367,2023-12-17,"World Tour Finals 2023, MS, Finals",,Viktor Axelsen,87484,Yuqi Shi,164376,2,0,True
11954554,2024-01-09,"Malaysia Open 2024, MS",MS,Viktor Axelsen,87484,Loh Kean Yew,172746,2,0,True
11959610,2024-01-11,"Malaysia Open 2024, MS",MS,Viktor Axelsen,87484,Lee C.,182557,2,1,True
11964817,2024-01-12,"Malaysia Open 2024, MS",MS,Viktor Axelsen,87484,Ka Long Ng.,104289,2,1,True
11967913,2024-01-13,"Malaysia Open 2024, MS",MS,Viktor Axelsen,87484,Yuqi Shi,164376,1,2,False
12122929,2024-03-05,"French Open 2024, MS",MS,Viktor Axelsen,87484,Rajawat P.,392222,2,0,True
12131822,2024-03-07,"French Open 2024, MS",MS,Viktor Axelsen,87484,Wang T.,142606,0,2,False
12151621,2024-03-12,"All England Open 2024, MS",MS,Viktor Axelsen,87484,Srikanth K.,96359,2,0,True
12156083,2024-03-14,"All England Open 2024, MS",MS,Viktor Axelsen,87484,Weng H.,251935,2,0,True
12160843,2024-03-15,"All England Open 2024, MS",MS,Viktor Axelsen,87484,Anthony G.,164374,1,2,False
12235392,2024-04-10,"European Championships 2024, MS",MS,Viktor Axelsen,87484,Schaefer K.,181650,2,0,True
12240572,2024-04-11,"European Championships 2024, MS",MS,Viktor Axelsen,87484,Koljonen K.,177532,2,0,True
13973273,2025-06-05,"Indonesia Open 2025, MS",MS,Kunlavut Vitidsarn,207992,Lee C.,208969,2,0,True
13976799,2025-06-06,"Indonesia Open 2025, MS",MS,Kunlavut Vitidsarn,207992,Lanier A.,339319,2,0,True
13979596,2025-06-07,"Indonesia Open 2025, MS",MS,Kunlavut Vitidsarn,207992,Tien Chen Chou,87480,0,2,False
