date,tournament,round,type,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
2021-01-27,BWF World Tour Finals 2020,Group A,MS,Viktor AXELSEN,4,2533,Anthony Sinisuka GINTING,6,2399
2021-01-27,BWF World Tour Finals 2020,Group B,XD,GOH Soon Huat / LAI Shevon Jemie,12,2044,Mark LAMSFUSS / Isabel LOHAU,17,1918
2021-01-27,BWF World Tour Finals 2020,Group A,XD,Dechapol PUAVARANUKROH / Sapsiree TAERATTANACHAI,3,2276,Praveen JORDAN / Melati Daeva OKTAVIANTI,4,2216
2021-01-27,BWF World Tour Finals 2020,Group A,XD,SEO Seung Jae / CHAE Yu Jung,6,2150,Marcus ELLIS / Lauren SMITH,9,2053
2021-01-27,BWF World Tour Finals 2020,Group B,WS,Pornpawee CHOCHUWONG,13,2214,Ratchanok INTANON,5,2397
2021-01-27,BWF World Tour Finals 2020,Group A,MS,CHOU Tien Chen,2,2339,LEE Zii Jia,10,2306
2021-01-27,BWF World Tour Finals 2020,Group B,MS,WANG Tzu Wei,12,2189,NG Ka Long Angus,8,2317
2021-01-27,BWF World Tour Finals 2020,Group B,XD,Thom GICQUEL / Delphine DELRUE,15,1990,Hafiz FAIZAL / Gloria Emanuelle WIDJAJA,8,2059
2021-01-27,BWF World Tour Finals 2020,Group A,WD,Greysia POLII / Apriyani RAHAYU,8,2157,LEE So Hee / SHIN Se..,4,2205
2021-01-27,BWF World Tour Finals 2020,Group B,MS,Anders ANTONSEN,3,2392,KIDAMBI Srikanth,14,2112
2021-01-27,BWF World Tour Finals 2020,Group A,WS,Carolina MARIN,6,2525,Evgeniya KOSETSKAYA,25,1886
2021-01-27,BWF World Tour Finals 2020,Group B,WS,TAI Tzu Ying,1,2595,PUSARLA V. Sindhu,7,2294
2021-01-27,BWF World Tour Finals 2020,Group B,MD,Hendra SETIAWAN / Mohammad AHSAN,2,2302,Vladimir IVANOV / Ivan SOZONOV,24,1936
2021-01-27,BWF World Tour Finals 2020,Group A,WS,AN Se Young,9,2287,Michelle LI,10,2268
2021-01-27,BWF World Tour Finals 2020,Group A,MD,LEE Yang / WANG Chang,7,2264,ONG Yew Sin / TEO Ee Yi,15,2068
2021-01-27,BWF World Tour Finals 2020,Group A,WD,CHOW Mei Kuan / LEE Meng Yean,14,1877,Vivian HO / YAP Cheng Wen,25,1806
2021-01-27,BWF World Tour Finals 2020,Group B,WD,KIM So Yeong / KONG Hee Yong,6,2199,Linda EFLER / Isabel LOHAU,31,1711
2021-01-27,BWF World Tour Finals 2020,Group A,MD,Ben LANE / Sean VENDY,32,1922,Marcus ELLIS / Chris LANGRIDGE,22,2016
2021-01-27,BWF World Tour Finals 2020,Group B,WD,Jongkolphan KITITHARAKUL / Rawinda PRAJONGJAI,11,1983,Chloe COBB / Lauren SMITH,18,1858
2021-01-27,BWF World Tour Finals 2020,Group B,MD,Aaron CHIA / SOH Wooi Yik,9,2151,CHOI Sol Gyu / SEO Seung Jae,8,2092
2021-01-28,BWF World Tour Finals 2020,Group A,XD,Praveen JORDAN / Melati Daeva OKTAVIANTI,4,2205,Marcus ELLIS / Lauren SMITH,9,2044
2021-01-28,BWF World Tour Finals 2020,Group A,MS,Viktor AXELSEN,4,2541,LEE Zii Jia,10,2294
